fold,n_estimators,max_depth,min_samples_leaf,max_features
1,100,2,6,sqrt
2,100,5,2,log2
3,350,9,4,log2
4,300,4,10,sqrt
5,100,5,2,log2
6,300,4,10,sqrt
7,450,4,10,sqrt
8,100,2,6,sqrt
9,350,9,4,log2
10,300,4,10,sqrt
11,100,5,2,log2
12,100,5,2,log2
13,300,4,10,sqrt
14,100,2,6,sqrt
15,450,4,10,sqrt
