fold,auc,pr_auc,accuracy,bal_accuracy,f1_score,precision,recall,n_features
1,0.771604938271605,0.9022515984951487,0.6666666666666666,0.75,0.6666666666666666,1.0,0.5,6
2,0.6262626262626263,0.7838317384370017,0.65,0.6717171717171717,0.5882352941176471,0.8333333333333334,0.45454545454545453,6
3,0.7333333333333334,0.8020398911453821,0.6774193548387096,0.6770833333333333,0.6875,0.6875,0.6875,6
4,0.8,0.8868619942149354,0.5384615384615384,0.625,0.4,1.0,0.25,6
5,0.9166666666666666,0.8041666666666667,0.8461538461538461,0.8194444444444444,0.75,0.75,0.75,6
6,0.888888888888889,0.9146031746031745,0.6842105263157895,0.6944444444444444,0.625,0.8333333333333334,0.5,6
7,0.819047619047619,0.9217077993836069,0.6451612903225806,0.7380952380952381,0.6451612903225806,1.0,0.47619047619047616,6
8,0.6090909090909091,0.7222295681369338,0.5405405405405406,0.5287878787878788,0.6046511627906976,0.6190476190476191,0.5909090909090909,6
9,0.39999999999999997,0.3333333333333333,0.7142857142857143,0.5,0.0,0.0,0.0,6
10,0.7692307692307693,0.7791441839893851,0.6086956521739131,0.6192307692307693,0.6086956521739131,0.5384615384615384,0.7,6
11,0.8,0.7681041181041179,0.7407407407407407,0.6911764705882353,0.5882352941176471,0.7142857142857143,0.5,6
12,0.5111111111111111,0.702300616050616,0.5357142857142857,0.5722222222222222,0.5517241379310345,0.7272727272727273,0.4444444444444444,6
13,0.7352941176470589,0.8414009264392895,0.7037037037037037,0.6411764705882352,0.7894736842105263,0.7142857142857143,0.8823529411764706,6
14,0.6458333333333334,0.37083333333333335,0.6875,0.625,0.4444444444444444,0.4,0.5,6
15,0.9791666666666667,0.9963235294117647,0.7368421052631579,0.84375,0.8148148148148148,1.0,0.6875,6
