Model_A,Model_B,AUC_A,AUC_B,ΔAUC,Z_stat,p_value,Significant (α=0.05),Significant (α=0.01),p_value_bonferroni,Significant Bonf. (α=0.05)
LogisticRegression,RandomForest,0.7368750000000001,0.59796875,0.13890625,3.4701591130739358,0.0005201501327828825,✓,✓,0.02340675597522971,✓
LogisticRegression,GradientBoosting,0.7368750000000001,0.6318750000000001,0.10499999999999998,3.2921955571712367,0.0009940846174539954,✓,✓,0.04473380778542979,✓
LogisticRegression,ExtraTrees,0.7368750000000001,0.633125,0.10375000000000001,2.949978740096064,0.0031779579656908076,✓,✓,0.14300810845608633,✗
LogisticRegression,SVM_RBF,0.7368750000000001,0.6706249999999999,0.06625000000000014,2.9349851358394283,0.003335636664153218,✓,✓,0.1501036498868948,✗
LogisticRegression,XGBoost,0.7368750000000001,0.6337499999999999,0.10312500000000013,2.6752162930505072,0.007468105177032733,✓,✓,0.336064732966473,✗
SVM_Linear,RandomForest,0.6906249999999999,0.59796875,0.09265624999999988,2.284705153181165,0.022330122267844272,✓,✗,1.0,✗
LogisticRegression,SVM_Linear,0.7368750000000001,0.6906249999999999,0.046250000000000124,2.255358937221278,0.02411080799062678,✓,✗,1.0,✗
LightGBM,RandomForest,0.6865625000000001,0.59796875,0.08859375000000003,2.2245456838570465,0.02611175243065815,✓,✗,1.0,✗
SVM_RBF,RandomForest,0.6706249999999999,0.59796875,0.07265624999999987,2.1611039959679466,0.030687306978565636,✓,✗,1.0,✗
KNN,RandomForest,0.6831249999999999,0.59796875,0.08515624999999982,2.1516012705211187,0.031428771984047164,✓,✗,1.0,✗
LogisticRegression,NaiveBayes,0.7368750000000001,0.6565625,0.08031250000000001,1.8794537725405003,0.0601825599292069,✗,✗,1.0,✗
SVM_Linear,ExtraTrees,0.6906249999999999,0.633125,0.057499999999999885,1.8714383687380143,0.06128434490476224,✗,✗,1.0,✗
SVM_Linear,GradientBoosting,0.6906249999999999,0.6318750000000001,0.05874999999999986,1.8458302213154116,0.06491686100780586,✗,✗,1.0,✗
LogisticRegression,KNN,0.7368750000000001,0.6831249999999999,0.053750000000000187,1.8190332239345293,0.06890636145926052,✗,✗,1.0,✗
LightGBM,XGBoost,0.6865625000000001,0.6337499999999999,0.05281250000000015,1.7741591724066106,0.07603682535457124,✗,✗,1.0,✗
LightGBM,GradientBoosting,0.6865625000000001,0.6318750000000001,0.0546875,1.7681523898472504,0.07703543104444,✗,✗,1.0,✗
KNN,ExtraTrees,0.6831249999999999,0.633125,0.04999999999999982,1.542673383075847,0.12291004309498271,✗,✗,1.0,✗
KNN,GradientBoosting,0.6831249999999999,0.6318750000000001,0.051249999999999796,1.5065002770831866,0.1319387960534445,✗,✗,1.0,✗
SVM_Linear,XGBoost,0.6906249999999999,0.6337499999999999,0.05687500000000001,1.5038581153847876,0.13261790359367395,✗,✗,1.0,✗
LightGBM,ExtraTrees,0.6865625000000001,0.633125,0.05343750000000003,1.405483542760051,0.15987753969848528,✗,✗,1.0,✗
SVM_RBF,GradientBoosting,0.6706249999999999,0.6318750000000001,0.03874999999999984,1.3203403184022482,0.1867214200116616,✗,✗,1.0,✗
SVM_RBF,ExtraTrees,0.6706249999999999,0.633125,0.03749999999999987,1.281048899993198,0.20017649076500155,✗,✗,1.0,✗
KNN,XGBoost,0.6831249999999999,0.6337499999999999,0.04937499999999995,1.2734782082815268,0.20284840057275433,✗,✗,1.0,✗
RandomForest,GradientBoosting,0.59796875,0.6318750000000001,-0.03390625000000003,-1.2690725249975665,0.20441519846829004,✗,✗,1.0,✗
RandomForest,XGBoost,0.59796875,0.6337499999999999,-0.035781249999999876,-1.2467981012655525,0.21247153688926979,✗,✗,1.0,✗
LogisticRegression,LightGBM,0.7368750000000001,0.6865625000000001,0.05031249999999998,1.228471917248455,0.2192698651493974,✗,✗,1.0,✗
SVM_RBF,XGBoost,0.6706249999999999,0.6337499999999999,0.03687499999999999,1.1182378784502156,0.26346541064077444,✗,✗,1.0,✗
RandomForest,NaiveBayes,0.59796875,0.6565625,-0.05859375,-1.0660144815077155,0.28641709563633644,✗,✗,1.0,✗
ExtraTrees,RandomForest,0.633125,0.59796875,0.03515625,0.9643689002138733,0.33486100851550926,✗,✗,1.0,✗
SVM_Linear,SVM_RBF,0.6906249999999999,0.6706249999999999,0.020000000000000018,0.768364008507448,0.442270956746892,✗,✗,1.0,✗
SVM_Linear,NaiveBayes,0.6906249999999999,0.6565625,0.034062499999999885,0.7057974698857591,0.48031409572920836,✗,✗,1.0,✗
LightGBM,NaiveBayes,0.6865625000000001,0.6565625,0.030000000000000027,0.5282294327087649,0.5973401033737077,✗,✗,1.0,✗
KNN,NaiveBayes,0.6831249999999999,0.6565625,0.026562499999999822,0.5200222976423104,0.6030480340612365,✗,✗,1.0,✗
NaiveBayes,GradientBoosting,0.6565625,0.6318750000000001,0.024687499999999973,0.48385361809063343,0.6284897593753483,✗,✗,1.0,✗
ExtraTrees,NaiveBayes,0.633125,0.6565625,-0.0234375,-0.46858645328445475,0.6393652621485025,✗,✗,1.0,✗
SVM_RBF,LightGBM,0.6706249999999999,0.6865625000000001,-0.01593750000000016,-0.4245298640639852,0.671179430421835,✗,✗,1.0,✗
