,LogisticRegression,SVM_Linear,SVM_RBF,KNN,LightGBM,ExtraTrees,RandomForest,XGBoost,NaiveBayes,GradientBoosting
LogisticRegression,0.0,2.255358937221278,2.9349851358394283,1.8190332239345293,1.228471917248455,2.949978740096064,3.4701591130739358,2.6752162930505072,1.8794537725405003,3.2921955571712367
SVM_Linear,-2.255358937221278,0.0,0.768364008507448,0.2644154210696922,0.10165544199304309,1.8714383687380143,2.284705153181165,1.5038581153847876,0.7057974698857591,1.8458302213154116
SVM_RBF,-2.9349851358394283,-0.768364008507448,0.0,-0.4223961862175669,-0.4245298640639852,1.281048899993198,2.1611039959679466,1.1182378784502156,0.2953731096269768,1.3203403184022482
KNN,-1.8190332239345293,-0.2644154210696922,0.4223961862175669,0.0,-0.08333111560534959,1.542673383075847,2.1516012705211187,1.2734782082815268,0.5200222976423104,1.5065002770831866
LightGBM,-1.228471917248455,-0.10165544199304309,0.4245298640639852,0.08333111560534959,0.0,1.405483542760051,2.2245456838570465,1.7741591724066106,0.5282294327087649,1.7681523898472504
ExtraTrees,-2.949978740096064,-1.8714383687380143,-1.281048899993198,-1.542673383075847,-1.405483542760051,0.0,0.9643689002138733,-0.017091215902140418,-0.46858645328445475,0.03800108719348031
RandomForest,-3.4701591130739358,-2.284705153181165,-2.1611039959679466,-2.1516012705211187,-2.2245456838570465,-0.9643689002138733,0.0,-1.2467981012655525,-1.0660144815077155,-1.2690725249975665
XGBoost,-2.6752162930505072,-1.5038581153847876,-1.1182378784502156,-1.2734782082815268,-1.7741591724066106,0.017091215902140418,1.2467981012655525,0.0,-0.4131049447164115,0.08880696733092235
NaiveBayes,-1.8794537725405003,-0.7057974698857591,-0.2953731096269768,-0.5200222976423104,-0.5282294327087649,0.46858645328445475,1.0660144815077155,0.4131049447164115,0.0,0.48385361809063343
GradientBoosting,-3.2921955571712367,-1.8458302213154116,-1.3203403184022482,-1.5065002770831866,-1.7681523898472504,-0.03800108719348031,1.2690725249975665,-0.08880696733092235,-0.48385361809063343,0.0
