fold,C,gamma
1,0.4819437348329684,0.0300302028157839
2,6.586481404007288,0.0017071338438049103
3,0.5103963396797635,0.06318947631815593
4,9.506534179352972,0.0025586480714241385
5,0.4980082769916735,0.017953046557512984
