,T2_Morph_Compacity,T2_Morph_Compactness1,T2_Morph_Compactness2,T2_Morph_SphericalDisproportion,T2_Morph_Sphericity,T2_Morph_Asphericity,ADC_GLSZM_LargeZoneEmphasis,ADC_GLSZM_LowGrayLevelZoneEmphasis,T2_IH_MaximumHistogramGradientGreyLevel_Intensity,T2_IH_MinimumHistogramGradientGreyLevel_Intensity,T2_GLCM_JointMaximum,T2_GLRLM_ShortRunsEmphasis
T2_Morph_Compacity,1.0,-1.0,-1.0,1.0,-1.0,1.0,-0.12092124687910191,0.22432964972332853,0.25257110919973685,0.21485139717385476,-0.22803148585836,0.08990097405884855
T2_Morph_Compactness1,-1.0,1.0,1.0,-1.0,1.0,-1.0,0.12092124687910191,-0.22432964972332853,-0.25257110919973685,-0.21485139717385476,0.22803148585836,-0.08990097405884855
T2_Morph_Compactness2,-1.0,1.0,1.0,-1.0,1.0,-1.0,0.12092124687910191,-0.22432964972332853,-0.25257110919973685,-0.21485139717385476,0.22803148585836,-0.08990097405884855
T2_Morph_SphericalDisproportion,1.0,-1.0,-1.0,1.0,-1.0,1.0,-0.12092124687910191,0.22432964972332853,0.25257110919973685,0.21485139717385476,-0.22803148585836,0.08990097405884855
T2_Morph_Sphericity,-1.0,1.0,1.0,-1.0,1.0,-1.0,0.12092124687910191,-0.22432964972332853,-0.25257110919973685,-0.21485139717385476,0.22803148585836,-0.08990097405884855
T2_Morph_Asphericity,1.0,-1.0,-1.0,1.0,-1.0,1.0,-0.12092124687910191,0.22432964972332853,0.25257110919973685,0.21485139717385476,-0.22803148585836,0.08990097405884855
ADC_GLSZM_LargeZoneEmphasis,-0.12092124687910191,0.12092124687910191,0.12092124687910191,-0.12092124687910191,0.12092124687910191,-0.12092124687910191,1.0,-0.9302643942584973,-0.3069945487194648,-0.3581770470273181,0.3154181382237631,-0.28171215996526033
ADC_GLSZM_LowGrayLevelZoneEmphasis,0.22432964972332853,-0.22432964972332853,-0.22432964972332853,0.22432964972332853,-0.22432964972332853,0.22432964972332853,-0.9302643942584973,1.0,0.29844778918167797,0.3680738627746786,-0.3223763082007582,0.25448705876210775
T2_IH_MaximumHistogramGradientGreyLevel_Intensity,0.25257110919973685,-0.25257110919973685,-0.25257110919973685,0.25257110919973685,-0.25257110919973685,0.25257110919973685,-0.3069945487194648,0.29844778918167797,1.0,0.7596747328048976,-0.48317925129430944,0.47474972588208725
T2_IH_MinimumHistogramGradientGreyLevel_Intensity,0.21485139717385476,-0.21485139717385476,-0.21485139717385476,0.21485139717385476,-0.21485139717385476,0.21485139717385476,-0.3581770470273181,0.3680738627746786,0.7596747328048976,1.0,-0.6684247652896302,0.5382265582497979
T2_GLCM_JointMaximum,-0.22803148585836,0.22803148585836,0.22803148585836,-0.22803148585836,0.22803148585836,-0.22803148585836,0.3154181382237631,-0.3223763082007582,-0.48317925129430944,-0.6684247652896302,1.0,-0.8247561304083868
T2_GLRLM_ShortRunsEmphasis,0.08990097405884855,-0.08990097405884855,-0.08990097405884855,0.08990097405884855,-0.08990097405884855,0.08990097405884855,-0.28171215996526033,0.25448705876210775,0.47474972588208725,0.5382265582497979,-0.8247561304083868,1.0
