Metric,Value
ROC-AUC,0.6965976331360947
PR-AUC,0.7610111415729499
Balanced Acc.,0.6269230769230769
Sensitivity,0.676923076923077
Specificity,0.5769230769230769
PPV,0.6666666666666666
NPV,0.5882352941176471
Kappa,0.2543352601156069
