Fold,Repeat,Fold_Within_Repeat,Split_Random_State,Outer_CV_Strategy,n_train,n_test,n_features,FS_N_FEATURES_SELECTED,FS_N_FEATURES_CONFIG,FS_N_FEATURES_MODE,FS_METHOD,train_class_distribution,test_class_distribution,test_patients,Model,AUC,Acc,BalAcc,PRAUC,Precision,Recall,F1,Specificity,Decision_Threshold,BestInnerAUC
1,1,1,100,repeated_stratified_group_kfold,92,22,8,8,8,fixed,elasticnet_then_mrmr,"{np.int64(1): 53, np.int64(0): 39}","{np.int64(1): 11, np.int64(0): 11}","['ADC_P1', 'ADC_P13', 'ADC_P21', 'ADC_P26', 'ADC_P3', 'ADC_P31', 'ADC_P37', 'ADC_P40', 'ADC_P49', 'ADC_P6', 'ADC_P9']",SVM_RBF,0.7768595041322314,0.6363636363636364,0.6363636363636364,0.7674685163321526,0.5789473684210527,1.0,0.7333333333333333,0.2727272727272727,0.4119367396422626,0.692
2,1,2,100,repeated_stratified_group_kfold,91,23,8,8,8,fixed,elasticnet_then_mrmr,"{np.int64(1): 49, np.int64(0): 42}","{np.int64(1): 15, np.int64(0): 8}","['ADC_P14', 'ADC_P16', 'ADC_P23', 'ADC_P27', 'ADC_P28', 'ADC_P33', 'ADC_P36', 'ADC_P4', 'ADC_P41', 'ADC_P48', 'ADC_P5']",SVM_RBF,0.8083333333333333,0.6956521739130435,0.5625,0.8695183629007158,0.6818181818181818,1.0,0.8108108108108109,0.125,0.4015468816866025,0.5556363636363636
3,1,3,100,repeated_stratified_group_kfold,93,21,8,8,8,fixed,elasticnet_then_mrmr,"{np.int64(1): 55, np.int64(0): 38}","{np.int64(1): 9, np.int64(0): 12}","['ADC_P15', 'ADC_P18', 'ADC_P20', 'ADC_P24', 'ADC_P34', 'ADC_P42', 'ADC_P45', 'ADC_P47', 'ADC_P7']",SVM_RBF,0.7037037037037037,0.6666666666666666,0.6666666666666666,0.6943843193843193,0.6,0.6666666666666666,0.631578947368421,0.6666666666666666,0.6179663333927756,0.698140350877193
4,1,4,100,repeated_stratified_group_kfold,88,26,8,8,8,fixed,elasticnet_then_mrmr,"{np.int64(1): 45, np.int64(0): 43}","{np.int64(0): 7, np.int64(1): 19}","['ADC_P10', 'ADC_P11', 'ADC_P12', 'ADC_P17', 'ADC_P19', 'ADC_P30', 'ADC_P35', 'ADC_P50']",SVM_RBF,0.7593984962406015,0.6923076923076923,0.744360902255639,0.9102795167416388,0.9230769230769232,0.631578947368421,0.75,0.8571428571428571,0.3672147775453054,0.6687676767676768
5,1,5,100,repeated_stratified_group_kfold,92,22,8,8,8,fixed,elasticnet_then_mrmr,"{np.int64(1): 54, np.int64(0): 38}","{np.int64(1): 10, np.int64(0): 12}","['ADC_P2', 'ADC_P22', 'ADC_P25', 'ADC_P29', 'ADC_P32', 'ADC_P39', 'ADC_P43', 'ADC_P44', 'ADC_P46']",SVM_RBF,0.7666666666666666,0.7272727272727273,0.725,0.789345238095238,0.7,0.7,0.7,0.75,0.5076468789619913,0.6545
6,2,1,101,repeated_stratified_group_kfold,85,29,8,8,8,fixed,elasticnet_then_mrmr,"{np.int64(0): 33, np.int64(1): 52}","{np.int64(1): 12, np.int64(0): 17}","['ADC_P1', 'ADC_P12', 'ADC_P17', 'ADC_P2', 'ADC_P26', 'ADC_P30', 'ADC_P33', 'ADC_P34', 'ADC_P36', 'ADC_P46', 'ADC_P5']",SVM_RBF,0.5784313725490196,0.5517241379310345,0.5931372549019608,0.5124745624745625,0.4761904761904761,0.8333333333333334,0.6060606060606061,0.3529411764705882,0.5077830273739992,0.6628333333333333
7,2,2,101,repeated_stratified_group_kfold,93,21,8,8,8,fixed,elasticnet_then_mrmr,"{np.int64(1): 51, np.int64(0): 42}","{np.int64(1): 13, np.int64(0): 8}","['ADC_P18', 'ADC_P23', 'ADC_P24', 'ADC_P25', 'ADC_P27', 'ADC_P28', 'ADC_P39', 'ADC_P42', 'ADC_P47', 'ADC_P50', 'ADC_P6']",SVM_RBF,0.6923076923076923,0.6666666666666666,0.6826923076923077,0.8549207454184828,0.8,0.6153846153846154,0.6956521739130435,0.75,0.4520055737006738,0.5364444444444445
8,2,3,101,repeated_stratified_group_kfold,89,25,8,8,8,fixed,elasticnet_then_mrmr,"{np.int64(1): 48, np.int64(0): 41}","{np.int64(1): 16, np.int64(0): 9}","['ADC_P16', 'ADC_P19', 'ADC_P21', 'ADC_P29', 'ADC_P35', 'ADC_P4', 'ADC_P41', 'ADC_P43', 'ADC_P45', 'ADC_P48']",SVM_RBF,0.6527777777777778,0.6,0.5902777777777778,0.7437101415526337,0.7142857142857143,0.625,0.6666666666666666,0.5555555555555556,0.5764447376622212,0.5253333333333333
9,2,4,101,repeated_stratified_group_kfold,84,30,8,8,8,fixed,elasticnet_then_mrmr,"{np.int64(1): 43, np.int64(0): 41}","{np.int64(0): 9, np.int64(1): 21}","['ADC_P11', 'ADC_P13', 'ADC_P14', 'ADC_P15', 'ADC_P20', 'ADC_P3', 'ADC_P31', 'ADC_P40', 'ADC_P49', 'ADC_P7', 'ADC_P9']",SVM_RBF,0.6481481481481481,0.6333333333333333,0.6428571428571428,0.791188777773731,0.8125,0.6190476190476191,0.7027027027027027,0.6666666666666666,0.482192105651011,0.4425494505494506
10,2,5,101,repeated_stratified_group_kfold,105,9,8,8,8,fixed,elasticnet_then_mrmr,"{np.int64(1): 62, np.int64(0): 43}","{np.int64(0): 7, np.int64(1): 2}","['ADC_P10', 'ADC_P22', 'ADC_P32', 'ADC_P37', 'ADC_P44']",SVM_RBF,0.7142857142857143,0.7777777777777778,0.8571428571428572,0.4166666666666666,0.5,1.0,0.6666666666666666,0.7142857142857143,0.4478396666183606,0.5926944444444444
11,3,1,102,repeated_stratified_group_kfold,84,30,8,8,8,fixed,elasticnet_then_mrmr,"{np.int64(1): 48, np.int64(0): 36}","{np.int64(0): 14, np.int64(1): 16}","['ADC_P17', 'ADC_P20', 'ADC_P22', 'ADC_P24', 'ADC_P28', 'ADC_P3', 'ADC_P37', 'ADC_P4', 'ADC_P45', 'ADC_P49', 'ADC_P50']",SVM_RBF,0.7053571428571429,0.6,0.5848214285714286,0.7198302591875106,0.5909090909090909,0.8125,0.6842105263157895,0.3571428571428571,0.4656664500595069,0.6352748538011697
12,3,2,102,repeated_stratified_group_kfold,83,31,8,8,8,fixed,elasticnet_then_mrmr,"{np.int64(1): 43, np.int64(0): 40}","{np.int64(0): 10, np.int64(1): 21}","['ADC_P10', 'ADC_P11', 'ADC_P15', 'ADC_P18', 'ADC_P19', 'ADC_P21', 'ADC_P26', 'ADC_P32', 'ADC_P33', 'ADC_P39', 'ADC_P40', 'ADC_P48']",SVM_RBF,0.5380952380952381,0.4838709677419355,0.5142857142857142,0.69864936146251,0.6923076923076923,0.4285714285714285,0.5294117647058824,0.6,0.5788575926735402,0.8491428571428571
13,3,3,102,repeated_stratified_group_kfold,100,14,8,8,8,fixed,elasticnet_then_mrmr,"{np.int64(1): 52, np.int64(0): 48}","{np.int64(1): 12, np.int64(0): 2}","['ADC_P13', 'ADC_P14', 'ADC_P2', 'ADC_P25', 'ADC_P27', 'ADC_P36']",SVM_RBF,0.9166666666666666,0.8571428571428571,0.7083333333333333,0.9880952380952382,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.5,0.4402129389939397,0.6199761904761905
14,3,4,102,repeated_stratified_group_kfold,92,22,8,8,8,fixed,elasticnet_then_mrmr,"{np.int64(1): 57, np.int64(0): 35}","{np.int64(0): 15, np.int64(1): 7}","['ADC_P12', 'ADC_P16', 'ADC_P29', 'ADC_P30', 'ADC_P35', 'ADC_P42', 'ADC_P43', 'ADC_P46', 'ADC_P47', 'ADC_P6']",SVM_RBF,0.3523809523809523,0.3181818181818182,0.5,0.2892957182873149,0.3181818181818182,1.0,0.4827586206896552,0.0,0.3448610147010909,0.5158095238095237
15,3,5,102,repeated_stratified_group_kfold,97,17,8,8,8,fixed,elasticnet_then_mrmr,"{np.int64(1): 56, np.int64(0): 41}","{np.int64(1): 8, np.int64(0): 9}","['ADC_P1', 'ADC_P23', 'ADC_P31', 'ADC_P34', 'ADC_P41', 'ADC_P44', 'ADC_P5', 'ADC_P7', 'ADC_P9']",SVM_RBF,0.6805555555555556,0.5882352941176471,0.5972222222222222,0.7284000721500722,0.5454545454545454,0.75,0.631578947368421,0.4444444444444444,0.5997672192524365,0.742
