Fold,n_train,n_test,n_features,FS_N_FEATURES_SELECTED,FS_N_FEATURES_CONFIG,FS_N_FEATURES_MODE,FS_METHOD,test_patients,Model,AUC,Acc,BalAcc,PRAUC,Precision,Recall,F1,Specificity,BestInnerAUC
2,91,23,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",ExtraTrees,0.6166666666666667,0.43478260869565216,0.42083333333333334,0.7811887530540781,0.5833333333333334,0.4666666666666667,0.5185185185185185,0.375,0.7132727272727273
2,91,23,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",KNN,0.7583333333333334,0.782608695652174,0.7166666666666667,0.8251322751322752,0.7777777777777778,0.9333333333333333,0.8484848484848485,0.5,0.6769090909090909
2,91,23,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",NaiveBayes,0.5416666666666667,0.7391304347826086,0.625,0.7339832802216704,0.7142857142857143,1.0,0.8333333333333334,0.25,0.46615873015873016
2,91,23,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",XGBoost,0.575,0.6086956521739131,0.6125,0.7880871315310675,0.75,0.6,0.6666666666666666,0.625,0.6566349206349206
2,91,23,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P14', 'P16', 'P23', 'P27', 'P28', 'P33', 'P36', 'P4', 'P41', 'P48', 'P5']",LightGBM,0.4166666666666667,0.4782608695652174,0.45416666666666666,0.6981941882170715,0.6153846153846154,0.5333333333333333,0.5714285714285714,0.375,0.676909090909091
3,93,21,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P15', 'P18', 'P20', 'P24', 'P34', 'P42', 'P45', 'P47', 'P7']",LogisticRegression,0.7777777777777777,0.7142857142857143,0.7222222222222222,0.6285714285714287,0.6363636363636364,0.7777777777777778,0.7,0.6666666666666666,0.6193333333333333
3,93,21,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P15', 'P18', 'P20', 'P24', 'P34', 'P42', 'P45', 'P47', 'P7']",SVM_RBF,0.8240740740740741,0.7619047619047619,0.7777777777777777,0.7198023653906007,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.6666666666666666,0.6438947368421054
3,93,21,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P15', 'P18', 'P20', 'P24', 'P34', 'P42', 'P45', 'P47', 'P7']",SVM_Linear,0.7592592592592593,0.8095238095238095,0.8194444444444444,0.6134411340293693,0.7272727272727273,0.8888888888888888,0.8,0.75,0.6621904761904762
3,93,21,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P15', 'P18', 'P20', 'P24', 'P34', 'P42', 'P45', 'P47', 'P7']",RandomForest,0.7037037037037037,0.7142857142857143,0.7222222222222222,0.664250569978124,0.6363636363636364,0.7777777777777778,0.7,0.6666666666666666,0.6050476190476191
3,93,21,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P15', 'P18', 'P20', 'P24', 'P34', 'P42', 'P45', 'P47', 'P7']",GradientBoosting,0.6435185185185184,0.42857142857142855,0.5,0.5156084656084656,0.42857142857142855,1.0,0.6,0.0,0.5572719298245613
3,93,21,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P15', 'P18', 'P20', 'P24', 'P34', 'P42', 'P45', 'P47', 'P7']",ExtraTrees,0.7222222222222223,0.7619047619047619,0.7638888888888888,0.5968305840854862,0.7,0.7777777777777778,0.7368421052631579,0.75,0.6197719298245614
3,93,21,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P15', 'P18', 'P20', 'P24', 'P34', 'P42', 'P45', 'P47', 'P7']",KNN,0.7685185185185184,0.5714285714285714,0.625,0.7275132275132274,0.5,1.0,0.6666666666666666,0.25,0.6592456140350876
3,93,21,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P15', 'P18', 'P20', 'P24', 'P34', 'P42', 'P45', 'P47', 'P7']",NaiveBayes,0.7037037037037037,0.7142857142857143,0.6944444444444444,0.5755623461505814,0.7142857142857143,0.5555555555555556,0.625,0.8333333333333334,0.6312380952380953
3,93,21,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P15', 'P18', 'P20', 'P24', 'P34', 'P42', 'P45', 'P47', 'P7']",XGBoost,0.824074074074074,0.7619047619047619,0.7916666666666667,0.7733525733525735,0.6428571428571429,1.0,0.782608695652174,0.5833333333333334,0.5812380952380952
3,93,21,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P15', 'P18', 'P20', 'P24', 'P34', 'P42', 'P45', 'P47', 'P7']",LightGBM,0.7222222222222222,0.6666666666666666,0.6805555555555556,0.673651040317707,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.5833333333333334,0.6621904761904762
4,88,26,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P10', 'P11', 'P12', 'P17', 'P19', 'P30', 'P35', 'P50']",LogisticRegression,0.6766917293233082,0.5769230769230769,0.7105263157894737,0.883306940226126,1.0,0.42105263157894735,0.5925925925925926,1.0,0.5886936026936027
4,88,26,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P10', 'P11', 'P12', 'P17', 'P19', 'P30', 'P35', 'P50']",SVM_RBF,0.6390977443609023,0.46153846153846156,0.5413533834586466,0.8607759624319904,0.7777777777777778,0.3684210526315789,0.5,0.7142857142857143,0.5098095238095238
4,88,26,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P10', 'P11', 'P12', 'P17', 'P19', 'P30', 'P35', 'P50']",SVM_Linear,0.631578947368421,0.5769230769230769,0.6654135338345865,0.8593158714574785,0.9,0.47368421052631576,0.6206896551724138,0.8571428571428571,0.5987946127946128
4,88,26,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P10', 'P11', 'P12', 'P17', 'P19', 'P30', 'P35', 'P50']",RandomForest,0.7518796992481203,0.5769230769230769,0.6654135338345865,0.8956636792859702,0.9,0.47368421052631576,0.6206896551724138,0.8571428571428571,0.6829696969696969
4,88,26,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P10', 'P11', 'P12', 'P17', 'P19', 'P30', 'P35', 'P50']",GradientBoosting,0.7406015037593985,0.6153846153846154,0.6917293233082706,0.8929012507959875,0.9090909090909091,0.5263157894736842,0.6666666666666666,0.8571428571428571,0.6447301587301587
4,88,26,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P10', 'P11', 'P12', 'P17', 'P19', 'P30', 'P35', 'P50']",ExtraTrees,0.6917293233082707,0.46153846153846156,0.5864661654135338,0.8582283515325788,0.8571428571428571,0.3157894736842105,0.46153846153846156,0.8571428571428571,0.6998047138047138
4,88,26,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P10', 'P11', 'P12', 'P17', 'P19', 'P30', 'P35', 'P50']",KNN,0.6390977443609023,0.5384615384615384,0.5939849624060151,0.8643106047538178,0.8181818181818182,0.47368421052631576,0.6,0.7142857142857143,0.6434074074074074
4,88,26,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P10', 'P11', 'P12', 'P17', 'P19', 'P30', 'P35', 'P50']",NaiveBayes,0.5939849624060151,0.6538461538461539,0.5827067669172932,0.8277804946956246,0.7777777777777778,0.7368421052631579,0.7567567567567568,0.42857142857142855,0.5785925925925925
4,88,26,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P10', 'P11', 'P12', 'P17', 'P19', 'P30', 'P35', 'P50']",XGBoost,0.7142857142857144,0.5,0.6578947368421053,0.8960701258274424,1.0,0.3157894736842105,0.48,1.0,0.6829696969696969
4,88,26,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P10', 'P11', 'P12', 'P17', 'P19', 'P30', 'P35', 'P50']",LightGBM,0.6541353383458647,0.5769230769230769,0.6654135338345865,0.8732411757489156,0.9,0.47368421052631576,0.6206896551724138,0.8571428571428571,0.6964377104377104
5,92,22,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P2', 'P22', 'P25', 'P29', 'P32', 'P39', 'P43', 'P44', 'P46']",LogisticRegression,0.5916666666666667,0.6363636363636364,0.6083333333333333,0.6743006993006992,0.75,0.3,0.42857142857142855,0.9166666666666666,0.6542692307692308
5,92,22,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P2', 'P22', 'P25', 'P29', 'P32', 'P39', 'P43', 'P44', 'P46']",SVM_RBF,0.6583333333333333,0.5909090909090909,0.575,0.693489010989011,0.5714285714285714,0.4,0.47058823529411764,0.75,0.6590769230769231
5,92,22,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P2', 'P22', 'P25', 'P29', 'P32', 'P39', 'P43', 'P44', 'P46']",SVM_Linear,0.49583333333333335,0.4090909090909091,0.425,0.6210754604872252,0.4,0.6,0.48,0.25,0.6485
5,92,22,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P2', 'P22', 'P25', 'P29', 'P32', 'P39', 'P43', 'P44', 'P46']",RandomForest,0.675,0.5454545454545454,0.55,0.6844063779357896,0.5,0.6,0.5454545454545454,0.5,0.7023461538461538
5,92,22,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P2', 'P22', 'P25', 'P29', 'P32', 'P39', 'P43', 'P44', 'P46']",GradientBoosting,0.6291666666666667,0.45454545454545453,0.5,0.6497268907563025,0.45454545454545453,1.0,0.625,0.0,0.6735
5,92,22,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P2', 'P22', 'P25', 'P29', 'P32', 'P39', 'P43', 'P44', 'P46']",ExtraTrees,0.65,0.5454545454545454,0.525,0.6136470473970473,0.5,0.3,0.375,0.75,0.6859999999999999
5,92,22,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P2', 'P22', 'P25', 'P29', 'P32', 'P39', 'P43', 'P44', 'P46']",KNN,0.7333333333333333,0.6818181818181818,0.675,0.7751633986928104,0.6666666666666666,0.6,0.631578947368421,0.75,0.6735
5,92,22,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P2', 'P22', 'P25', 'P29', 'P32', 'P39', 'P43', 'P44', 'P46']",NaiveBayes,0.4416666666666667,0.4090909090909091,0.4416666666666667,0.6097281631337359,0.42105263157894735,0.8,0.5517241379310345,0.08333333333333333,0.5926666666666667
5,92,22,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P2', 'P22', 'P25', 'P29', 'P32', 'P39', 'P43', 'P44', 'P46']",XGBoost,0.675,0.7272727272727273,0.7333333333333334,0.6485371572871572,0.6666666666666666,0.8,0.7272727272727273,0.6666666666666666,0.7119615384615385
5,92,22,14,14,14,fixed,mrmr_then_elasticnet_no_corr,"['P2', 'P22', 'P25', 'P29', 'P32', 'P39', 'P43', 'P44', 'P46']",LightGBM,0.6,0.5909090909090909,0.575,0.5313580863580863,0.5714285714285714,0.4,0.47058823529411764,0.75,0.6614807692307693
