Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
LogisticRegression,0.692 ± 0.071,0.725 ± 0.128,0.613 ± 0.064,0.618 ± 0.041,0.640 ± 0.155,0.646 ± 0.128,0.625 ± 0.106,0.589 ± 0.134,10.800 ± 5.586
SVM_RBF,0.681 ± 0.115,0.742 ± 0.055,0.625 ± 0.094,0.630 ± 0.099,0.629 ± 0.143,0.790 ± 0.168,0.679 ± 0.097,0.471 ± 0.197,10.800 ± 5.586
SVM_Linear,0.673 ± 0.082,0.709 ± 0.135,0.618 ± 0.085,0.616 ± 0.080,0.614 ± 0.127,0.799 ± 0.181,0.675 ± 0.099,0.433 ± 0.160,10.800 ± 5.586
XGBoost,0.668 ± 0.140,0.694 ± 0.152,0.582 ± 0.094,0.585 ± 0.079,0.594 ± 0.152,0.641 ± 0.177,0.601 ± 0.140,0.529 ± 0.079,10.800 ± 5.586
LightGBM,0.660 ± 0.160,0.737 ± 0.117,0.611 ± 0.102,0.640 ± 0.092,0.644 ± 0.185,0.680 ± 0.228,0.629 ± 0.135,0.600 ± 0.176,10.800 ± 5.586
NaiveBayes,0.644 ± 0.069,0.681 ± 0.094,0.577 ± 0.067,0.548 ± 0.030,0.560 ± 0.135,0.854 ± 0.095,0.670 ± 0.119,0.242 ± 0.111,10.800 ± 5.586
RandomForest,0.611 ± 0.133,0.675 ± 0.092,0.569 ± 0.090,0.565 ± 0.096,0.581 ± 0.128,0.617 ± 0.153,0.588 ± 0.118,0.513 ± 0.121,10.800 ± 5.586
KNN,0.595 ± 0.104,0.649 ± 0.094,0.563 ± 0.128,0.583 ± 0.123,0.592 ± 0.168,0.761 ± 0.168,0.640 ± 0.100,0.404 ± 0.222,10.800 ± 5.586
ExtraTrees,0.592 ± 0.147,0.670 ± 0.105,0.508 ± 0.095,0.504 ± 0.100,0.522 ± 0.134,0.586 ± 0.191,0.538 ± 0.141,0.422 ± 0.132,10.800 ± 5.586
GradientBoosting,0.572 ± 0.099,0.649 ± 0.120,0.529 ± 0.102,0.523 ± 0.099,0.549 ± 0.142,0.666 ± 0.103,0.591 ± 0.110,0.380 ± 0.124,10.800 ± 5.586
