,LogisticRegression,SVM_RBF,SVM_Linear,XGBoost,LightGBM,NaiveBayes,RandomForest,KNN,ExtraTrees,GradientBoosting
LogisticRegression,1.0,0.8792440420080665,0.6216474609887503,0.6945339766106469,0.5709326885617994,0.9773925151057296,0.1556933120797731,0.06833444328963054,0.08411826097612438,0.22501472274245982
SVM_RBF,0.8792440420080665,1.0,0.7268065849898286,0.6299250792851179,0.5170357057228965,0.9177527424859608,0.13338972226865417,0.02375764293346948,0.05377634354453168,0.17560471412406353
SVM_Linear,0.6216474609887503,0.7268065849898286,1.0,0.543087500694559,0.4408485238945148,0.8166224829127892,0.11014547067498112,0.013656176328821719,0.04061008853104142,0.14563080175131835
XGBoost,0.6945339766106469,0.6299250792851179,0.543087500694559,1.0,0.7527534731962732,0.8066400707867353,0.34080366312963595,0.17406612758112872,0.3005665050042081,0.3101050664470145
LightGBM,0.5709326885617994,0.5170357057228965,0.4408485238945148,0.7527534731962732,1.0,0.7056107661174184,0.4956740574593086,0.27831706438234893,0.4363361422656622,0.531882743491793
NaiveBayes,0.9773925151057296,0.9177527424859608,0.8166224829127892,0.8066400707867353,0.7056107661174184,1.0,0.4145664989616539,0.15558992806023114,0.3239928489839421,0.3950730709579763
RandomForest,0.1556933120797731,0.13338972226865417,0.11014547067498112,0.34080366312963595,0.4956740574593086,0.4145664989616539,1.0,0.44946637165954517,0.7708195369493038,0.9196210230565514
KNN,0.06833444328963054,0.02375764293346948,0.013656176328821719,0.17406612758112872,0.27831706438234893,0.15558992806023114,0.44946637165954517,1.0,0.5538591469337757,0.5106689509578574
ExtraTrees,0.08411826097612438,0.05377634354453168,0.04061008853104142,0.3005665050042081,0.4363361422656622,0.3239928489839421,0.7708195369493038,0.5538591469337757,1.0,0.877879740238634
GradientBoosting,0.22501472274245982,0.17560471412406353,0.14563080175131835,0.3101050664470145,0.531882743491793,0.3950730709579763,0.9196210230565514,0.5106689509578574,0.877879740238634,1.0
