Feature_Original,Feature_Index,Feature_Sanitized,MeanAbsSHAP,Selection_Count
Morph_Compacity,5,Morph_Compacity,0.023392784653127288,3
Morph_Sphericity,9,Morph_Sphericity,0.022795573169308202,2
Morph_Compactness1,6,Morph_Compactness1,0.022104602303243927,2
Morph_SphericalDisproportion,8,Morph_SphericalDisproportion,0.020728357532328705,2
Morph_Asphericity,10,Morph_Asphericity,0.020262528675052363,4
GLSZM_NormalisedZoneSizeNonUniformity,140,GLSZM_NormalisedZoneSizeNonUniformity,0.018082943978321754,2
GLCM_ClusterShade,108,GLCM_ClusterShade,0.017769860707416384,2
Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,27,Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,0.01624395473384071,3
Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,24,Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,0.011799989706605162,2
GLSZM_SmallZoneLowGreyLevelEmphasis,133,GLSZM_SmallZoneLowGreyLevelEmphasis,0.010838453040788173,3
GLSZM_SmallZoneHighGreyLevelEmphasis,134,GLSZM_SmallZoneHighGreyLevelEmphasis,0.0055778760906148766,2
