,KNN,LogisticRegression,XGBoost,ExtraTrees,LightGBM,RandomForest,GradientBoosting,SVM_RBF,NaiveBayes,SVM_Linear
KNN,1.0,0.26305647655329323,0.33121927991311595,0.23178470390818406,0.19211509194197773,0.20641761462362884,0.12747506120777813,0.10223343987137223,0.007714000008301997,0.0033026602078831415
LogisticRegression,0.26305647655329323,1.0,0.9510352820634774,0.9508282762131928,0.658777322160911,0.8721003005113513,0.5659941545827807,0.643792528278414,0.052943058378878256,0.007156118982511652
XGBoost,0.33121927991311595,0.9510352820634774,1.0,0.9888902052514078,0.6527664289970659,0.9114695455491699,0.571858278244399,0.6949972350229101,0.0930259732642827,0.040355975466309
ExtraTrees,0.23178470390818406,0.9508282762131928,0.9888902052514078,1.0,0.6329676124886705,0.8585862520288416,0.584226499761254,0.6391959707736374,0.0971700352441286,0.033085538050876766
LightGBM,0.19211509194197773,0.658777322160911,0.6527664289970659,0.6329676124886705,1.0,0.6553029603650808,0.9471232227378918,0.9786497377304734,0.22473370042393914,0.06111709729764467
RandomForest,0.20641761462362884,0.8721003005113513,0.9114695455491699,0.8585862520288416,0.6553029603650808,1.0,0.5832930751737058,0.7244740514194287,0.12511479987705185,0.03634963141902609
GradientBoosting,0.12747506120777813,0.5659941545827807,0.571858278244399,0.584226499761254,0.9471232227378918,0.5832930751737058,1.0,0.978209592821888,0.18833126966924985,0.05672245535274082
SVM_RBF,0.10223343987137223,0.643792528278414,0.6949972350229101,0.6391959707736374,0.9786497377304734,0.7244740514194287,0.978209592821888,1.0,0.10703324046001235,0.10082472381563919
NaiveBayes,0.007714000008301997,0.052943058378878256,0.0930259732642827,0.0971700352441286,0.22473370042393914,0.12511479987705185,0.18833126966924985,0.10703324046001235,1.0,0.6294042553180845
SVM_Linear,0.0033026602078831415,0.007156118982511652,0.040355975466309,0.033085538050876766,0.06111709729764467,0.03634963141902609,0.05672245535274082,0.10082472381563919,0.6294042553180845,1.0
