,KNN,LogisticRegression,XGBoost,ExtraTrees,LightGBM,RandomForest,GradientBoosting,SVM_RBF,NaiveBayes,SVM_Linear
KNN,0.0,1.119196128923287,0.9716608893725375,1.1957741557398915,1.3043476020202753,1.2634775363022692,1.5241347194664219,1.6341210301352038,2.6643380487305928,2.9380666437815393
LogisticRegression,-1.119196128923287,0.0,0.06140674337083214,0.06166667842130977,0.4416018816264413,0.16099123949290137,0.5739610564944537,0.46240274906818507,1.9353850835574153,2.68949047224378
XGBoost,-0.9716608893725375,-0.06140674337083214,0.0,-0.013924512783400097,0.449922353320318,0.1111851268585371,0.5653168374979941,0.39208253029622975,1.6796472265938942,2.050086654502006
ExtraTrees,-1.1957741557398915,-0.06166667842130977,0.013924512783400097,0.0,0.4775540918042593,0.17817409672518536,0.5472215979079309,0.4688232624997866,1.658730873510272,2.131043750344888
LightGBM,-1.3043476020202753,-0.4416018816264413,-0.449922353320318,-0.4775540918042593,0.0,-0.4464074388378074,0.06631979631759338,0.02676177962717798,1.21403672518148,1.872647356625156
RandomForest,-1.2634775363022692,-0.16099123949290137,-0.1111851268585371,-0.17817409672518536,0.4464074388378074,0.0,0.5485809309924234,0.35248568603395153,1.5336539842621715,2.0929946580798093
GradientBoosting,-1.5241347194664219,-0.5739610564944537,-0.5653168374979941,-0.5472215979079309,-0.06631979631759338,-0.5485809309924234,0.0,-0.02731362114205991,1.3155317034001706,1.905443422127485
SVM_RBF,-1.6341210301352038,-0.46240274906818507,-0.39208253029622975,-0.4688232624997866,-0.02676177962717798,-0.35248568603395153,0.02731362114205991,0.0,1.6116724286280508,1.6408684579801656
NaiveBayes,-2.6643380487305928,-1.9353850835574153,-1.6796472265938942,-1.658730873510272,-1.21403672518148,-1.5336539842621715,-1.3155317034001706,-1.6116724286280508,0.0,0.48256553529829044
SVM_Linear,-2.9380666437815393,-2.68949047224378,-2.050086654502006,-2.131043750344888,-1.872647356625156,-2.0929946580798093,-1.905443422127485,-1.6408684579801656,-0.48256553529829044,0.0
