Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
KNN,0.692 ± 0.089,0.760 ± 0.128,0.641 ± 0.130,0.662 ± 0.053,0.655 ± 0.216,0.826 ± 0.167,0.690 ± 0.134,0.499 ± 0.271,7.200 ± 3.033
LogisticRegression,0.689 ± 0.112,0.705 ± 0.219,0.602 ± 0.082,0.616 ± 0.039,0.706 ± 0.269,0.585 ± 0.298,0.552 ± 0.202,0.647 ± 0.286,7.200 ± 3.033
XGBoost,0.649 ± 0.081,0.719 ± 0.114,0.585 ± 0.160,0.596 ± 0.100,0.600 ± 0.219,0.684 ± 0.188,0.610 ± 0.196,0.508 ± 0.197,7.200 ± 3.033
ExtraTrees,0.649 ± 0.089,0.731 ± 0.130,0.590 ± 0.106,0.605 ± 0.081,0.679 ± 0.283,0.617 ± 0.192,0.585 ± 0.163,0.594 ± 0.304,7.200 ± 3.033
LightGBM,0.648 ± 0.132,0.754 ± 0.149,0.600 ± 0.122,0.605 ± 0.072,0.608 ± 0.207,0.680 ± 0.171,0.618 ± 0.173,0.531 ± 0.161,7.200 ± 3.033
RandomForest,0.628 ± 0.110,0.715 ± 0.123,0.569 ± 0.147,0.559 ± 0.138,0.593 ± 0.267,0.602 ± 0.238,0.572 ± 0.226,0.515 ± 0.267,7.200 ± 3.033
GradientBoosting,0.607 ± 0.097,0.693 ± 0.108,0.558 ± 0.092,0.526 ± 0.091,0.537 ± 0.201,0.602 ± 0.238,0.558 ± 0.204,0.450 ± 0.170,7.200 ± 3.033
SVM_RBF,0.588 ± 0.149,0.697 ± 0.141,0.532 ± 0.162,0.550 ± 0.048,0.557 ± 0.179,0.829 ± 0.208,0.630 ± 0.150,0.271 ± 0.275,7.200 ± 3.033
NaiveBayes,0.582 ± 0.130,0.650 ± 0.228,0.529 ± 0.118,0.501 ± 0.039,0.520 ± 0.174,0.855 ± 0.123,0.637 ± 0.173,0.147 ± 0.092,7.200 ± 3.033
SVM_Linear,0.430 ± 0.200,0.539 ± 0.193,0.559 ± 0.155,0.527 ± 0.096,0.535 ± 0.195,0.922 ± 0.145,0.667 ± 0.194,0.133 ± 0.199,7.200 ± 3.033
