fold,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_alpha,reg_lambda
1,100,3,0.011648420257877943,0.8021725718543157,0.6881262271486814,0.0021639569109615053,0.004671720805549375
2,50,8,0.2499872372751497,0.8409186630923462,0.6938831401633154,1.856487532402193e-05,6.904106655874299e-07
3,300,8,0.01226144306124255,0.9562183778914016,0.7884507497000164,0.048119067425824946,0.004695214397948433
4,200,3,0.04237053583479054,0.9379104529279615,0.5023594280954863,1.242001404761155e-07,0.010882827930218712
5,300,8,0.2027848972867164,0.7438031375747609,0.7994294729378736,1.5601289828756666e-05,1.152688441528122e-05
