,Post1_Morph_Compacity,Post1_Morph_Compactness1,Post1_Morph_Compactness2,Post1_Morph_SphericalDisproportion,Post1_Morph_Sphericity,Post1_Morph_Asphericity,Pre_Morph_Compacity,Pre_Morph_Compactness1,Pre_Morph_Compactness2,Pre_Morph_SphericalDisproportion,Pre_Morph_Sphericity,Pre_Morph_Asphericity
Post1_Morph_Compacity,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.9999769346096182,-0.9999769346096182,-0.9999769346096182,0.9999769346096182,-0.9999769346096182,0.9999769346096182
Post1_Morph_Compactness1,-1.0,1.0,1.0,-1.0,1.0,-1.0,-0.9999769346096182,0.9999769346096182,0.9999769346096182,-0.9999769346096182,0.9999769346096182,-0.9999769346096182
Post1_Morph_Compactness2,-1.0,1.0,1.0,-1.0,1.0,-1.0,-0.9999769346096182,0.9999769346096182,0.9999769346096182,-0.9999769346096182,0.9999769346096182,-0.9999769346096182
Post1_Morph_SphericalDisproportion,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.9999769346096182,-0.9999769346096182,-0.9999769346096182,0.9999769346096182,-0.9999769346096182,0.9999769346096182
Post1_Morph_Sphericity,-1.0,1.0,1.0,-1.0,1.0,-1.0,-0.9999769346096182,0.9999769346096182,0.9999769346096182,-0.9999769346096182,0.9999769346096182,-0.9999769346096182
Post1_Morph_Asphericity,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.9999769346096182,-0.9999769346096182,-0.9999769346096182,0.9999769346096182,-0.9999769346096182,0.9999769346096182
Pre_Morph_Compacity,0.9999769346096182,-0.9999769346096182,-0.9999769346096182,0.9999769346096182,-0.9999769346096182,0.9999769346096182,1.0,-1.0,-1.0,1.0,-1.0,1.0
Pre_Morph_Compactness1,-0.9999769346096182,0.9999769346096182,0.9999769346096182,-0.9999769346096182,0.9999769346096182,-0.9999769346096182,-1.0,1.0,1.0,-1.0,1.0,-1.0
Pre_Morph_Compactness2,-0.9999769346096182,0.9999769346096182,0.9999769346096182,-0.9999769346096182,0.9999769346096182,-0.9999769346096182,-1.0,1.0,1.0,-1.0,1.0,-1.0
Pre_Morph_SphericalDisproportion,0.9999769346096182,-0.9999769346096182,-0.9999769346096182,0.9999769346096182,-0.9999769346096182,0.9999769346096182,1.0,-1.0,-1.0,1.0,-1.0,1.0
Pre_Morph_Sphericity,-0.9999769346096182,0.9999769346096182,0.9999769346096182,-0.9999769346096182,0.9999769346096182,-0.9999769346096182,-1.0,1.0,1.0,-1.0,1.0,-1.0
Pre_Morph_Asphericity,0.9999769346096182,-0.9999769346096182,-0.9999769346096182,0.9999769346096182,-0.9999769346096182,0.9999769346096182,1.0,-1.0,-1.0,1.0,-1.0,1.0
