Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K,Run_Name,Run_Dir,Experiment_ID,FS_METHOD,FS_N_FEATURES,USE_SMOTE,N_Unique_Selected_Features,Max_Selection_Count,Mean_Selection_Count,Rank_Mean_AUC,Rank_Pooled_AUC,Rank_Mean_PR_AUC,Rank_Pooled_PR_AUC,Rank_Mean_Bal_Acc,Rank_Pooled_Bal_Acc,Rank_Mean_F1,Rank_Pooled_F1,Rank_N_Unique_Selected_Features,Composite_Rank_Score
LogisticRegression,0.7158660130718955,0.1099014846288993,0.7103365384615384,0.7804572595542549,0.0408696955522034,0.7465253472768124,0.6706915566203664,0.0550564820582867,0.6551724137931034,0.6800186741363211,0.0970043869441174,0.6514423076923077,0.7078431372549019,0.1624495308016312,0.6875,0.723529411764706,0.1595842348970651,0.6875,0.6821288515406162,0.0146157300697997,0.6875,0.6365079365079365,0.1963640265929157,0.6153846153846154,8.0,8.0,6.196773353931867,4,4.0,20,corr_mrmr_then_elasticnet_auto_k_no_smote,nested_cv_outputs/Post1_M1/fs_method_comparison/corr_mrmr_then_elasticnet_auto_k_no_smote,corr_mrmr_then_elasticnet_auto_k,corr_mrmr_then_elasticnet,auto,False,27,5,1.4814814814814814,2.0,1.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0,2.6666666666666665
LogisticRegression,0.7158660130718955,0.1099014846288993,0.7103365384615384,0.7804572595542549,0.0408696955522034,0.7465253472768124,0.6706915566203664,0.0550564820582867,0.6551724137931034,0.6800186741363211,0.0970043869441174,0.6514423076923077,0.7078431372549019,0.1624495308016312,0.6875,0.723529411764706,0.1595842348970651,0.6875,0.6821288515406162,0.0146157300697997,0.6875,0.6365079365079365,0.1963640265929157,0.6153846153846154,8.0,8.0,6.196773353931867,4,4.0,20,hier_mrmr_elasticnet_auto_k_no_smote,nested_cv_outputs/Post1_M1/fs_method_comparison/hier_mrmr_elasticnet_auto_k_no_smote,hier_mrmr_elasticnet_auto_k,hier_mrmr_elasticnet,auto,False,27,5,1.4814814814814814,2.0,1.0,2.0,3.0,1.0,3.0,2.0,5.0,5.0,2.6666666666666665
KNN,0.7184741674447557,0.0768590213118821,0.6932091346153846,0.7572758342954117,0.0627904437447445,0.7446883561348139,0.6742696063052014,0.0348463392064538,0.6724137931034483,0.6642133520074697,0.0526690104742054,0.6652644230769231,0.6730398246255024,0.1522376818922302,0.6911764705882353,0.712156862745098,0.0934815103216179,0.734375,0.6778074866310162,0.0903885695837466,0.7121212121212122,0.6162698412698412,0.165393854892132,0.5961538461538461,7.2,7.2,3.249615361854384,4,6.0,12,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs/Post1_M1/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,17,5,2.1176470588235294,1.0,5.0,7.0,5.0,3.0,2.0,4.0,2.0,3.0,3.5555555555555554
LogisticRegression,0.7096093993152817,0.0697363744349446,0.7088341346153846,0.7695450514983216,0.1127673428066841,0.7597458318464099,0.6361764733844824,0.0340432327096989,0.646551724137931,0.6569117647058824,0.0345109334584407,0.6382211538461539,0.6551754385964912,0.1479454034874019,0.6666666666666666,0.7388235294117648,0.1959309249088569,0.71875,0.6530249867091973,0.0929771858723326,0.6917293233082706,0.575,0.1540602735984672,0.5576923076923077,5.2,5.2,0.9797958971132712,4,6.0,6,corr_elasticnet_auto_k_no_smote,nested_cv_outputs/Post1_M1/fs_method_comparison/corr_elasticnet_auto_k_no_smote,corr_elasticnet_auto_k,corr_elasticnet,auto,False,16,5,1.625,4.0,3.0,4.0,1.0,4.0,5.0,6.0,4.0,2.0,3.6666666666666665
LogisticRegression,0.7020673825085589,0.068449736464408,0.7016225961538461,0.7687156887529006,0.1100282257728086,0.7501809820277721,0.6473465293821244,0.1170241954926867,0.6724137931034483,0.6390056022408964,0.1279216673929903,0.6706730769230769,0.6828738512949039,0.2780732092697472,0.7096774193548387,0.6137254901960784,0.1785929025370305,0.6875,0.6241577060931901,0.2055285517537703,0.6984126984126984,0.6642857142857143,0.1943326533193341,0.6538461538461539,6.8,6.8,2.993325909419153,4,6.0,12,elasticnet_only_auto_k_no_smote,nested_cv_outputs/Post1_M1/fs_method_comparison/elasticnet_only_auto_k_no_smote,elasticnet_only_auto_k,elasticnet_only,auto,False,15,5,2.2666666666666666,6.0,4.0,5.0,2.0,5.0,1.0,9.0,3.0,1.0,4.0
KNN,0.7069716775599127,0.1484134335038852,0.6123798076923077,0.7982198958335949,0.0673420241980953,0.6980937757613013,0.5990055427207819,0.1082770083012062,0.5948275862068966,0.6188678804855275,0.1124585328060274,0.5805288461538461,0.6198484848484849,0.1843089493135412,0.6133333333333333,0.7635294117647058,0.123971198798301,0.71875,0.6532623532623533,0.0980740096619544,0.6618705035971223,0.4742063492063493,0.2240851617978514,0.4423076923076923,9.6,9.6,6.374950980203691,4,6.0,20,mrmr_only_auto_k_no_smote,nested_cv_outputs/Post1_M1/fs_method_comparison/mrmr_only_auto_k_no_smote,mrmr_only_auto_k,mrmr_only,auto,False,36,3,1.3333333333333333,5.0,14.0,1.0,10.0,9.0,11.0,5.0,9.0,10.0,8.222222222222221
NaiveBayes,0.6709430438842203,0.0847822272654902,0.6881009615384615,0.7116354951664043,0.0964036466540031,0.6974157300479608,0.6377969824020991,0.0698957524280112,0.6293103448275862,0.5990919701213818,0.0777618210194024,0.6045673076923077,0.5893685300207039,0.1079519842529886,0.6206896551724138,0.8192156862745099,0.0976336710249125,0.84375,0.6841976893453146,0.1067197076014911,0.7152317880794702,0.3789682539682539,0.1648617307765157,0.3653846153846153,12.0,12.0,4.0,6,12.0,18,corr_rfe_auto_k_no_smote,nested_cv_outputs/Post1_M1/fs_method_comparison/corr_rfe_auto_k_no_smote,corr_rfe_auto_k,corr_rfe,auto,False,41,3,1.4634146341463414,10.0,6.0,12.0,11.0,12.0,10.0,1.0,1.0,13.0,8.444444444444445
SVM_RBF,0.6562426081543727,0.054139182142204,0.6385216346153847,0.7298569624073045,0.0958453765886793,0.6938685265328011,0.5857315345635702,0.1308229557862043,0.6206896551724138,0.621078431372549,0.0439186993304917,0.6075721153846154,0.6170995670995671,0.1745539147953086,0.6351351351351351,0.7588235294117648,0.170892224074517,0.734375,0.6398049009813715,0.1214811523103409,0.6811594202898551,0.4833333333333333,0.20757268546966,0.4807692307692308,6.0,6.0,3.0983866769659336,4,4.0,12,corr_lasso_auto_k_no_smote,nested_cv_outputs/Post1_M1/fs_method_comparison/corr_lasso_auto_k_no_smote,corr_lasso_auto_k,corr_lasso,auto,False,20,3,1.5,11.0,10.0,11.0,12.0,7.0,9.0,7.0,8.0,4.0,8.777777777777779
XGBoost,0.6535107376283846,0.0653022451838932,0.671875,0.7051404553578466,0.1143513075588295,0.7126041010751661,0.6261468107964214,0.0296842513242944,0.6206896551724138,0.6258636788048553,0.0236038839311984,0.6201923076923077,0.6421212121212121,0.1290359646267787,0.6666666666666666,0.6215686274509804,0.1159352588164273,0.625,0.614229423826947,0.0815255937392624,0.6451612903225806,0.6301587301587301,0.1234987960787675,0.6153846153846154,12.0,12.0,6.572670690061994,4,16.0,18,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs/Post1_M1/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,38,4,1.5789473684210527,12.0,7.0,13.0,9.0,6.0,7.0,10.0,10.0,12.0,9.555555555555555
ExtraTrees,0.6503089013383131,0.0543336895844631,0.6560997596153847,0.7404600828215973,0.1129586794534207,0.7161894739853429,0.6270428681440918,0.0351989737500612,0.6293103448275862,0.620765639589169,0.0658494532631548,0.6370192307692308,0.7272727272727273,0.2776078451745903,0.7058823529411765,0.5113725490196079,0.2128743621029868,0.5625,0.5513819513819513,0.1667576297769501,0.6260869565217392,0.7301587301587301,0.232852327884346,0.7115384615384616,10.0,10.0,5.932958789676531,4,10.0,20,rfe_only_auto_k_no_smote,nested_cv_outputs/Post1_M1/fs_method_comparison/rfe_only_auto_k_no_smote,rfe_only_auto_k,rfe_only,auto,False,37,4,1.3513513513513513,13.0,8.0,10.0,8.0,8.0,6.0,14.0,12.0,11.0,10.0
SVM_RBF,0.6776984126984127,0.1324048757155708,0.6307091346153846,0.7550853594365693,0.0397860480281415,0.7303025771411737,0.5164679653556183,0.1546938826214775,0.5431034482758621,0.5464262371615313,0.0703918258722513,0.5210336538461539,0.5516541353383458,0.1668798154618702,0.5662650602409639,0.7670588235294117,0.2017775677601726,0.734375,0.604093567251462,0.1377418315085413,0.6394557823129252,0.3257936507936508,0.2242621787491915,0.3076923076923077,12.0,12.0,4.1952353926806065,4,14.0,16,corr_mrmr_auto_k_no_smote,nested_cv_outputs/Post1_M1/fs_method_comparison/corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k,corr_mrmr,auto,False,29,5,2.0689655172413794,7.0,13.0,8.0,6.0,13.0,14.0,11.0,11.0,8.0,10.11111111111111
RandomForest,0.6773358232181762,0.0854805904961891,0.6313100961538461,0.7457318131355548,0.0961424382513476,0.7264396510849979,0.5662702147685462,0.0887267325864348,0.5775862068965517,0.5998902894491129,0.0894065718103455,0.5721153846153846,0.6205775401069519,0.1758236123153397,0.6153846153846154,0.6517647058823529,0.2704961480131748,0.625,0.5668605903900021,0.1544540441702153,0.6201550387596899,0.5480158730158731,0.2823557007544762,0.5192307692307693,12.0,12.0,6.06630035524124,4,14.0,20,mrmr_custom_auto_k_no_smote,nested_cv_outputs/Post1_M1/fs_method_comparison/mrmr_custom_auto_k_no_smote,mrmr_custom_auto_k,mrmr_custom,auto,False,31,4,1.935483870967742,8.0,12.0,9.0,7.0,11.0,12.0,13.0,13.0,9.0,10.444444444444445
ExtraTrees,0.6744195455960161,0.0943866976367506,0.6511418269230769,0.7661438223604812,0.1253103839806002,0.6772012806265229,0.59340007415647,0.0765639428531496,0.603448275862069,0.6148832866479925,0.0843121558554893,0.6081730769230769,0.712987012987013,0.2676207142315067,0.6666666666666666,0.5662745098039215,0.1607096909566973,0.5625,0.5706711568001891,0.1010739421793949,0.6101694915254238,0.6634920634920635,0.2748187061311637,0.6538461538461539,145.0,145.0,0.0,145,145.0,145,true_baseline_no_fs_no_smote,nested_cv_outputs/Post1_M1/fs_method_comparison/true_baseline_no_fs_no_smote,true_baseline_no_fs,no_fs,,False,145,5,5.0,9.0,9.0,6.0,13.0,10.0,8.0,12.0,14.0,14.0,10.555555555555555
NaiveBayes,0.6300272331154684,0.0758991796240425,0.6325120192307693,0.6855333623362636,0.137161677377749,0.6647270958865794,0.5722179439643289,0.0432552227481062,0.5775862068965517,0.5428104575163399,0.0467120255202779,0.5486778846153846,0.561851332398317,0.1483386354550652,0.5824175824175825,0.7745098039215687,0.1742783219081488,0.828125,0.6293137254901962,0.1265527928613481,0.6838709677419355,0.3111111111111111,0.2649248670570303,0.2692307692307692,7.8,7.8,2.85657137141714,4,7.0,12,lasso_only_auto_k_no_smote,nested_cv_outputs/Post1_M1/fs_method_comparison/lasso_only_auto_k_no_smote,lasso_only_auto_k,lasso_only,auto,False,27,4,1.4444444444444444,14.0,11.0,14.0,14.0,14.0,13.0,8.0,7.0,5.0,11.11111111111111
