Metric,Value
ROC-AUC,0.7320634920634921
PR-AUC,0.7715027720211615
Balanced Acc.,0.6733333333333333
Sensitivity,0.6666666666666666
Specificity,0.68
PPV,0.7241379310344828
NPV,0.6181818181818182
Kappa,0.3431264728986646
