Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_Linear,0.836 ± 0.098,0.879 ± 0.061,0.718 ± 0.091,0.735 ± 0.092,0.763 ± 0.113,0.779 ± 0.185,0.751 ± 0.074,0.692 ± 0.174,9.600 ± 5.550
LogisticRegression,0.814 ± 0.064,0.861 ± 0.070,0.678 ± 0.049,0.696 ± 0.040,0.742 ± 0.132,0.688 ± 0.123,0.698 ± 0.053,0.705 ± 0.135,9.600 ± 5.550
SVM_RBF,0.784 ± 0.082,0.834 ± 0.102,0.680 ± 0.095,0.696 ± 0.100,0.712 ± 0.165,0.824 ± 0.185,0.735 ± 0.070,0.568 ± 0.303,9.600 ± 5.550
ExtraTrees,0.750 ± 0.077,0.783 ± 0.136,0.666 ± 0.049,0.686 ± 0.054,0.724 ± 0.170,0.708 ± 0.121,0.695 ± 0.065,0.663 ± 0.190,9.600 ± 5.550
RandomForest,0.746 ± 0.108,0.776 ± 0.177,0.619 ± 0.131,0.625 ± 0.118,0.666 ± 0.192,0.652 ± 0.165,0.645 ± 0.154,0.598 ± 0.172,9.600 ± 5.550
KNN,0.736 ± 0.099,0.766 ± 0.130,0.640 ± 0.124,0.658 ± 0.145,0.673 ± 0.197,0.790 ± 0.159,0.704 ± 0.103,0.525 ± 0.294,9.600 ± 5.550
LightGBM,0.721 ± 0.055,0.778 ± 0.118,0.630 ± 0.074,0.635 ± 0.056,0.690 ± 0.120,0.593 ± 0.158,0.627 ± 0.118,0.678 ± 0.084,9.600 ± 5.550
GradientBoosting,0.718 ± 0.084,0.781 ± 0.127,0.659 ± 0.091,0.659 ± 0.081,0.680 ± 0.146,0.727 ± 0.148,0.693 ± 0.117,0.590 ± 0.092,9.600 ± 5.550
NaiveBayes,0.714 ± 0.061,0.785 ± 0.076,0.573 ± 0.069,0.522 ± 0.053,0.571 ± 0.093,0.897 ± 0.090,0.693 ± 0.080,0.146 ± 0.099,9.600 ± 5.550
XGBoost,0.672 ± 0.088,0.734 ± 0.145,0.624 ± 0.067,0.635 ± 0.057,0.682 ± 0.144,0.643 ± 0.133,0.647 ± 0.093,0.627 ± 0.128,9.600 ± 5.550
