,SVM_Linear,LogisticRegression,SVM_RBF,ExtraTrees,RandomForest,KNN,LightGBM,GradientBoosting,NaiveBayes,XGBoost
SVM_Linear,1.0,0.22133929184248557,0.003263012100990188,0.004481932006248079,0.023792165890572578,9.725843022277477e-06,0.016297786716453135,0.005836660919103855,0.0016943709673112983,0.0012445608216607228
LogisticRegression,0.22133929184248557,1.0,0.003998790445897891,0.007957218120172303,0.04507908576141411,0.0003254936837879314,0.04163865902585471,0.015428357313018764,0.008120137919065974,0.004032104654364298
SVM_RBF,0.003263012100990188,0.003998790445897891,1.0,0.6180100331768414,0.8270020018561898,0.11412453902591295,0.6378319572572766,0.6674982818606037,0.3933966845831647,0.16664508007267365
ExtraTrees,0.004481932006248079,0.007957218120172303,0.6180100331768414,1.0,0.8491434703614849,0.35206337919024433,0.8766525918372071,0.9470418619726096,0.6208929752740984,0.21657805177766232
RandomForest,0.023792165890572578,0.04507908576141411,0.8270020018561898,0.8491434703614849,1.0,0.33388188738587254,0.6850543850188344,0.7707762828614647,0.589710166011498,0.07026326567315579
KNN,9.725843022277477e-06,0.0003254936837879314,0.11412453902591295,0.35206337919024433,0.33388188738587254,1.0,0.5441712553874478,0.4417475773541699,0.7755156241487589,0.7028904672093179
LightGBM,0.016297786716453135,0.04163865902585471,0.6378319572572766,0.8766525918372071,0.6850543850188344,0.5441712553874478,1.0,0.8905877728347762,0.7815530225717486,0.12871680864172005
GradientBoosting,0.005836660919103855,0.015428357313018764,0.6674982818606037,0.9470418619726096,0.7707762828614647,0.4417475773541699,0.8905877728347762,1.0,0.6986331063840456,0.05062932566839275
NaiveBayes,0.0016943709673112983,0.008120137919065974,0.3933966845831647,0.6208929752740984,0.589710166011498,0.7755156241487589,0.7815530225717486,0.6986331063840456,1.0,0.6097979130840121
XGBoost,0.0012445608216607228,0.004032104654364298,0.16664508007267365,0.21657805177766232,0.07026326567315579,0.7028904672093179,0.12871680864172005,0.05062932566839275,0.6097979130840121,1.0
