,Post1_Morph_Compacity,Post1_Morph_Compactness1,Post1_Morph_Compactness2,Post1_Morph_SphericalDisproportion,Post1_Morph_Sphericity,Post1_Morph_Asphericity,ADC_Morph_SurfaceToVolumeRatio_cm,ADC_Morph_Compacity,ADC_Morph_Compactness1,ADC_Morph_Compactness2,ADC_Morph_SphericalDisproportion,ADC_Morph_Sphericity
Post1_Morph_Compacity,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.9599025217912037,-0.9599025217912037,-0.9599025217912037,0.9599025217912037,-0.9599025217912037,0.9599025217912037
Post1_Morph_Compactness1,-1.0,1.0,1.0,-1.0,1.0,-1.0,-0.9599025217912037,0.9599025217912037,0.9599025217912037,-0.9599025217912037,0.9599025217912037,-0.9599025217912037
Post1_Morph_Compactness2,-1.0,1.0,1.0,-1.0,1.0,-1.0,-0.9599025217912037,0.9599025217912037,0.9599025217912037,-0.9599025217912037,0.9599025217912037,-0.9599025217912037
Post1_Morph_SphericalDisproportion,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.9599025217912037,-0.9599025217912037,-0.9599025217912037,0.9599025217912037,-0.9599025217912037,0.9599025217912037
Post1_Morph_Sphericity,-1.0,1.0,1.0,-1.0,1.0,-1.0,-0.9599025217912037,0.9599025217912037,0.9599025217912037,-0.9599025217912037,0.9599025217912037,-0.9599025217912037
Post1_Morph_Asphericity,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.9599025217912037,-0.9599025217912037,-0.9599025217912037,0.9599025217912037,-0.9599025217912037,0.9599025217912037
ADC_Morph_SurfaceToVolumeRatio_cm,0.9599025217912037,-0.9599025217912037,-0.9599025217912037,0.9599025217912037,-0.9599025217912037,0.9599025217912037,1.0,-1.0,-1.0,1.0,-1.0,1.0
ADC_Morph_Compacity,-0.9599025217912037,0.9599025217912037,0.9599025217912037,-0.9599025217912037,0.9599025217912037,-0.9599025217912037,-1.0,1.0,1.0,-1.0,1.0,-1.0
ADC_Morph_Compactness1,-0.9599025217912037,0.9599025217912037,0.9599025217912037,-0.9599025217912037,0.9599025217912037,-0.9599025217912037,-1.0,1.0,1.0,-1.0,1.0,-1.0
ADC_Morph_Compactness2,0.9599025217912037,-0.9599025217912037,-0.9599025217912037,0.9599025217912037,-0.9599025217912037,0.9599025217912037,1.0,-1.0,-1.0,1.0,-1.0,1.0
ADC_Morph_SphericalDisproportion,-0.9599025217912037,0.9599025217912037,0.9599025217912037,-0.9599025217912037,0.9599025217912037,-0.9599025217912037,-1.0,1.0,1.0,-1.0,1.0,-1.0
ADC_Morph_Sphericity,0.9599025217912037,-0.9599025217912037,-0.9599025217912037,0.9599025217912037,-0.9599025217912037,0.9599025217912037,1.0,-1.0,-1.0,1.0,-1.0,1.0
