,SVM_Linear,LogisticRegression,SVM_RBF,NaiveBayes,GradientBoosting,RandomForest,ExtraTrees,KNN,LightGBM,XGBoost
SVM_Linear,0.0,-1.6215749595315547,1.8741481558876607,-0.4912274791491453,-0.1109410915777698,0.5610026023711735,0.8496600889114735,0.9418508302627773,1.6424780943786697,1.6269512097539556
LogisticRegression,1.6215749595315547,0.0,2.826214163190552,-0.07189721947425778,0.5040095132693425,1.1813571107236729,1.3868023859707008,1.6000712092197384,2.0568085744379645,2.1311325726234096
SVM_RBF,-1.8741481558876607,-2.826214163190552,0.0,-0.9578972543183631,-0.8054470407889511,-0.15293037210393617,0.17809367444907376,0.13187595946183744,1.0560830164813821,0.9694338553460384
NaiveBayes,0.4912274791491453,0.07189721947425778,0.9578972543183631,0.0,0.3652097734235928,0.8083482082154658,1.0424393595351704,1.1103023761780113,1.5224908750573052,1.6120776067722487
GradientBoosting,0.1109410915777698,-0.5040095132693425,0.8054470407889511,-0.3652097734235928,0.0,0.7225246312667061,0.8336726037032786,0.7821698423033079,2.014535790170147,1.8685790536092715
RandomForest,-0.5610026023711735,-1.1813571107236729,0.15293037210393617,-0.8083482082154658,-0.7225246312667061,0.0,0.3590434624010359,0.24983091283271677,1.4349262188807144,1.3557508003793877
ExtraTrees,-0.8496600889114735,-1.3868023859707008,-0.17809367444907376,-1.0424393595351704,-0.8336726037032786,-0.3590434624010359,0.0,-0.07845695680757228,0.8827069158453538,0.7971746486757563
KNN,-0.9418508302627773,-1.6000712092197384,-0.13187595946183744,-1.1103023761780113,-0.7821698423033079,-0.24983091283271677,0.07845695680757228,0.0,0.8598067282009962,0.8608675670010174
LightGBM,-1.6424780943786697,-2.0568085744379645,-1.0560830164813821,-1.5224908750573052,-2.014535790170147,-1.4349262188807144,-0.8827069158453538,-0.8598067282009962,0.0,-0.14781211179849943
XGBoost,-1.6269512097539556,-2.1311325726234096,-0.9694338553460384,-1.6120776067722487,-1.8685790536092715,-1.3557508003793877,-0.7971746486757563,-0.8608675670010174,0.14781211179849943,0.0
