Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_Linear,0.777 ± 0.113,0.843 ± 0.072,0.664 ± 0.113,0.701 ± 0.079,0.782 ± 0.126,0.608 ± 0.230,0.652 ± 0.115,0.794 ± 0.135,8.400 ± 4.561
LogisticRegression,0.768 ± 0.114,0.840 ± 0.072,0.655 ± 0.120,0.692 ± 0.081,0.776 ± 0.127,0.591 ± 0.240,0.637 ± 0.124,0.794 ± 0.135,8.400 ± 4.561
SVM_RBF,0.759 ± 0.111,0.830 ± 0.073,0.611 ± 0.113,0.648 ± 0.080,0.728 ± 0.156,0.581 ± 0.253,0.602 ± 0.117,0.716 ± 0.208,8.400 ± 4.561
NaiveBayes,0.742 ± 0.061,0.783 ± 0.120,0.636 ± 0.099,0.607 ± 0.069,0.657 ± 0.129,0.746 ± 0.200,0.679 ± 0.105,0.469 ± 0.303,8.400 ± 4.561
GradientBoosting,0.741 ± 0.099,0.805 ± 0.111,0.661 ± 0.078,0.676 ± 0.076,0.738 ± 0.128,0.608 ± 0.110,0.659 ± 0.080,0.743 ± 0.098,8.400 ± 4.561
RandomForest,0.728 ± 0.124,0.792 ± 0.126,0.626 ± 0.090,0.649 ± 0.109,0.696 ± 0.175,0.664 ± 0.224,0.647 ± 0.099,0.634 ± 0.230,8.400 ± 4.561
ExtraTrees,0.725 ± 0.145,0.810 ± 0.133,0.644 ± 0.055,0.676 ± 0.042,0.741 ± 0.162,0.610 ± 0.177,0.642 ± 0.070,0.742 ± 0.167,8.400 ± 4.561
KNN,0.714 ± 0.069,0.762 ± 0.104,0.660 ± 0.056,0.680 ± 0.061,0.750 ± 0.144,0.610 ± 0.197,0.649 ± 0.097,0.751 ± 0.178,8.400 ± 4.561
LightGBM,0.662 ± 0.129,0.749 ± 0.129,0.579 ± 0.041,0.603 ± 0.056,0.644 ± 0.157,0.642 ± 0.132,0.619 ± 0.028,0.564 ± 0.170,8.400 ± 4.561
XGBoost,0.643 ± 0.059,0.722 ± 0.118,0.632 ± 0.082,0.637 ± 0.091,0.690 ± 0.163,0.628 ± 0.089,0.649 ± 0.088,0.646 ± 0.188,8.400 ± 4.561
