,SVM_Linear,LogisticRegression,SVM_RBF,NaiveBayes,GradientBoosting,RandomForest,ExtraTrees,KNN,LightGBM,XGBoost
SVM_Linear,1.0,0.10489438783899252,0.06091000752300478,0.6232655655999839,0.9116630603396115,0.5747957631248999,0.3955140938353626,0.3462690169207199,0.10049096225406903,0.10374746050533419
LogisticRegression,0.10489438783899252,1.0,0.004710176077574079,0.9426837028629955,0.6142546918519118,0.23746088848369729,0.1655020293681737,0.10958278712683805,0.03970464297705069,0.03307822194812452
SVM_RBF,0.06091000752300478,0.004710176077574079,1.0,0.33811457112397436,0.42056175551410246,0.8784531841529178,0.8586494096806586,0.8950824041001542,0.29093028889746486,0.3323287674182275
NaiveBayes,0.6232655655999839,0.9426837028629955,0.33811457112397436,1.0,0.7149548233010568,0.4188901578509323,0.2972080263104627,0.2668687495206691,0.1278861300855857,0.10694505298426889
GradientBoosting,0.9116630603396115,0.6142546918519118,0.42056175551410246,0.7149548233010568,1.0,0.4699719872796374,0.40446550027695927,0.43411476536369775,0.043953311176084614,0.061681402210681496
RandomForest,0.5747957631248999,0.23746088848369729,0.8784531841529178,0.4188901578509323,0.4699719872796374,1.0,0.7195625757357589,0.8027181126304221,0.15130812343334446,0.1751784700918787
ExtraTrees,0.3955140938353626,0.1655020293681737,0.8586494096806586,0.2972080263104627,0.40446550027695927,0.7195625757357589,1.0,0.9374645681269497,0.377394644560322,0.42534960720006254
KNN,0.3462690169207199,0.10958278712683805,0.8950824041001542,0.2668687495206691,0.43411476536369775,0.8027181126304221,0.9374645681269497,1.0,0.3898955898264542,0.3893109863342331
LightGBM,0.10049096225406903,0.03970464297705069,0.29093028889746486,0.1278861300855857,0.043953311176084614,0.15130812343334446,0.377394644560322,0.3898955898264542,1.0,0.8824910505079734
XGBoost,0.10374746050533419,0.03307822194812452,0.3323287674182275,0.10694505298426889,0.061681402210681496,0.1751784700918787,0.42534960720006254,0.3893109863342331,0.8824910505079734,1.0
