fold,n_estimators,max_depth,learning_rate,subsample
1,50,3,0.06571271013022326,0.8008335850362696
2,25,2,0.07786135445417827,0.7627606366351568
3,100,1,0.06549750379683224,0.7822221241125097
4,50,3,0.06571271013022326,0.8008335850362696
5,25,2,0.01087617173758401,0.9671234690326227
