Feature,NaN_Count,Inf_Count
IH_IntensityHistogramSkewness_Intensity,2,0
IH_IntensityHistogramKurtosis_Intensity,2,0
NGTDM_Coarseness,2,0
NGTDM_Contrast,2,0
NGTDM_Busyness,2,0
