Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
LightGBM,0.767 ± 0.128,0.802 ± 0.112,0.652 ± 0.068,0.668 ± 0.077,0.702 ± 0.123,0.687 ± 0.157,0.677 ± 0.061,0.649 ± 0.133,13.200 ± 5.762
XGBoost,0.761 ± 0.134,0.821 ± 0.087,0.629 ± 0.129,0.658 ± 0.125,0.683 ± 0.123,0.719 ± 0.262,0.667 ± 0.116,0.596 ± 0.167,13.200 ± 5.762
SVM_RBF,0.751 ± 0.093,0.791 ± 0.108,0.626 ± 0.111,0.646 ± 0.101,0.711 ± 0.158,0.645 ± 0.194,0.648 ± 0.079,0.646 ± 0.222,13.200 ± 5.762
SVM_Linear,0.719 ± 0.069,0.742 ± 0.123,0.655 ± 0.094,0.681 ± 0.076,0.767 ± 0.152,0.635 ± 0.217,0.657 ± 0.085,0.727 ± 0.218,13.200 ± 5.762
GradientBoosting,0.716 ± 0.176,0.778 ± 0.103,0.621 ± 0.114,0.645 ± 0.092,0.726 ± 0.098,0.590 ± 0.265,0.611 ± 0.122,0.699 ± 0.180,13.200 ± 5.762
RandomForest,0.710 ± 0.069,0.752 ± 0.102,0.636 ± 0.085,0.656 ± 0.074,0.712 ± 0.114,0.647 ± 0.174,0.655 ± 0.056,0.664 ± 0.168,13.200 ± 5.762
ExtraTrees,0.697 ± 0.127,0.747 ± 0.093,0.638 ± 0.100,0.659 ± 0.079,0.713 ± 0.098,0.653 ± 0.239,0.649 ± 0.102,0.664 ± 0.168,13.200 ± 5.762
LogisticRegression,0.696 ± 0.121,0.731 ± 0.129,0.629 ± 0.128,0.663 ± 0.105,0.750 ± 0.164,0.616 ± 0.268,0.628 ± 0.122,0.709 ± 0.231,13.200 ± 5.762
KNN,0.665 ± 0.060,0.705 ± 0.114,0.632 ± 0.030,0.654 ± 0.032,0.711 ± 0.145,0.611 ± 0.179,0.633 ± 0.081,0.697 ± 0.165,13.200 ± 5.762
NaiveBayes,0.597 ± 0.129,0.653 ± 0.172,0.537 ± 0.157,0.512 ± 0.149,0.556 ± 0.187,0.680 ± 0.225,0.603 ± 0.178,0.344 ± 0.220,13.200 ± 5.762
