,LightGBM,XGBoost,SVM_RBF,SVM_Linear,GradientBoosting,RandomForest,ExtraTrees,LogisticRegression,KNN,NaiveBayes
LightGBM,0.0,1.2182443589997738,0.442233882025059,0.6812875013739839,2.574624992523991,0.9475584777920113,2.0092449037022546,1.4607857976913547,1.4798025679091085,2.0376161201381233
XGBoost,-1.2182443589997738,0.0,-0.5716532314477477,-0.32780999678445744,1.702042533909656,-0.2941998092601955,0.9668240340603176,0.4431631954621761,0.548899024977759,1.2012879718711655
SVM_RBF,-0.442233882025059,0.5716532314477477,0.0,0.38659987961619197,1.9790795333978608,0.4832586937538197,1.633123223066465,1.5599072222752248,1.3206860314042994,1.8161731324431558
SVM_Linear,-0.6812875013739839,0.32780999678445744,-0.38659987961619197,0.0,1.929264732909697,0.1507445898707525,1.227923427420439,2.7490153008503238,0.9401129241589778,1.8737883646650755
GradientBoosting,-2.574624992523991,-1.702042533909656,-1.9790795333978608,-1.929264732909697,0.0,-1.9657903410154167,-0.8240360317695554,-1.1067516741131653,-0.9665182090520056,0.28630569093499453
RandomForest,-0.9475584777920113,0.2941998092601955,-0.4832586937538197,-0.1507445898707525,1.9657903410154167,0.0,1.529129860498152,0.7684916785188921,0.8642092304534053,1.4664611638440945
ExtraTrees,-2.0092449037022546,-0.9668240340603176,-1.633123223066465,-1.227923427420439,0.8240360317695554,-1.529129860498152,0.0,-0.33430104760058504,-0.32932026209573234,0.7649707664469553
LogisticRegression,-1.4607857976913547,-0.4431631954621761,-1.5599072222752248,-2.7490153008503238,1.1067516741131653,-0.7684916785188921,0.33430104760058504,0.0,0.036322105021828116,1.1995093500931588
KNN,-1.4798025679091085,-0.548899024977759,-1.3206860314042994,-0.9401129241589778,0.9665182090520056,-0.8642092304534053,0.32932026209573234,-0.036322105021828116,0.0,0.9644917411159667
NaiveBayes,-2.0376161201381233,-1.2012879718711655,-1.8161731324431558,-1.8737883646650755,-0.28630569093499453,-1.4664611638440945,-0.7649707664469553,-1.1995093500931588,-0.9644917411159667,0.0
