Feature_Family,N_Features,Percentage
Morphological,64,22.14532871972318
IB,48,16.608996539792386
HI,60,20.761245674740483
GLCM,48,16.608996539792386
GLRLM,28,9.688581314878892
GLSZM,31,10.726643598615917
NGTDM,10,3.4602076124567476
