Competitor,Competitor_Mean_AUC,ΔMean_AUC,p_value,p_Bonferroni,Significant_uncorrected,Significant_Bonferroni
KNN,0.6128,+0.1795,2.11e-03,9.51e-02,✓,✗
XGBoost,0.6665,+0.1258,2.20e-02,9.90e-01,✓,✗
GradientBoosting,0.6720,+0.1204,6.51e-03,2.93e-01,✓,✗
LightGBM,0.6835,+0.1089,3.51e-01,1.00e+00,✗,✗
NaiveBayes,0.7206,+0.0718,2.68e-02,1.00e+00,✓,✗
ExtraTrees,0.7212,+0.0712,3.07e-01,1.00e+00,✗,✗
RandomForest,0.7332,+0.0592,4.08e-01,1.00e+00,✗,✗
SVM_Linear,0.7762,+0.0161,6.53e-03,2.94e-01,✓,✗
SVM_RBF,0.7832,+0.0092,2.00e-01,1.00e+00,✗,✗
