Model,FS_METHOD,N_Outer_Folds,Mean_Selected_Features,Std_Selected_Features,Min_Selected_Features,Max_Selected_Features,Selected_Features_Per_Fold
LogisticRegression,corr_mrmr_then_elasticnet,5,8.0,6.928203230275509,4,20,"[np.int64(20), np.int64(4), np.int64(4), np.int64(8), np.int64(4)]"
SVM_RBF,corr_mrmr_then_elasticnet,5,8.0,6.928203230275509,4,20,"[np.int64(20), np.int64(4), np.int64(4), np.int64(8), np.int64(4)]"
SVM_Linear,corr_mrmr_then_elasticnet,5,8.0,6.928203230275509,4,20,"[np.int64(20), np.int64(4), np.int64(4), np.int64(8), np.int64(4)]"
RandomForest,corr_mrmr_then_elasticnet,5,8.0,6.928203230275509,4,20,"[np.int64(20), np.int64(4), np.int64(4), np.int64(8), np.int64(4)]"
GradientBoosting,corr_mrmr_then_elasticnet,5,8.0,6.928203230275509,4,20,"[np.int64(20), np.int64(4), np.int64(4), np.int64(8), np.int64(4)]"
ExtraTrees,corr_mrmr_then_elasticnet,5,8.0,6.928203230275509,4,20,"[np.int64(20), np.int64(4), np.int64(4), np.int64(8), np.int64(4)]"
KNN,corr_mrmr_then_elasticnet,5,8.0,6.928203230275509,4,20,"[np.int64(20), np.int64(4), np.int64(4), np.int64(8), np.int64(4)]"
NaiveBayes,corr_mrmr_then_elasticnet,5,8.0,6.928203230275509,4,20,"[np.int64(20), np.int64(4), np.int64(4), np.int64(8), np.int64(4)]"
XGBoost,corr_mrmr_then_elasticnet,5,8.0,6.928203230275509,4,20,"[np.int64(20), np.int64(4), np.int64(4), np.int64(8), np.int64(4)]"
LightGBM,corr_mrmr_then_elasticnet,5,8.0,6.928203230275509,4,20,"[np.int64(20), np.int64(4), np.int64(4), np.int64(8), np.int64(4)]"
