fold,n_estimators,max_depth,min_samples_leaf,max_features
1,350,8,2,
2,500,2,18,log2
3,50,10,19,sqrt
4,500,2,18,log2
5,200,6,2,log2
6,100,5,2,log2
7,300,7,3,
8,100,5,2,log2
9,250,10,2,
10,300,10,2,
11,50,2,8,sqrt
12,400,6,2,log2
13,50,10,20,sqrt
14,50,7,2,log2
15,100,2,6,sqrt
