fold,C,l1_ratio
1,0.043243520608364394,0.00025594057275046996
2,0.1347536455310455,0.013915058798529306
3,0.03371836820784085,0.014577876000504475
4,0.25651966260707565,0.004763305490926184
5,0.06360661798551492,0.027488892450141855
