Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_Linear,0.753 ± 0.141,0.817 ± 0.068,0.691 ± 0.053,0.697 ± 0.042,0.753 ± 0.185,0.633 ± 0.153,0.664 ± 0.074,0.761 ± 0.177,11.600 ± 6.229
LogisticRegression,0.737 ± 0.139,0.810 ± 0.064,0.662 ± 0.065,0.666 ± 0.063,0.732 ± 0.196,0.602 ± 0.140,0.632 ± 0.073,0.730 ± 0.208,11.600 ± 6.229
SVM_RBF,0.714 ± 0.157,0.796 ± 0.070,0.647 ± 0.083,0.650 ± 0.076,0.686 ± 0.145,0.598 ± 0.121,0.624 ± 0.073,0.703 ± 0.155,11.600 ± 6.229
KNN,0.700 ± 0.179,0.780 ± 0.082,0.619 ± 0.149,0.640 ± 0.163,0.640 ± 0.123,0.605 ± 0.290,0.595 ± 0.186,0.675 ± 0.130,11.600 ± 6.229
LightGBM,0.696 ± 0.135,0.740 ± 0.084,0.669 ± 0.107,0.682 ± 0.127,0.668 ± 0.135,0.727 ± 0.219,0.674 ± 0.123,0.637 ± 0.147,11.600 ± 6.229
ExtraTrees,0.665 ± 0.187,0.764 ± 0.099,0.658 ± 0.143,0.679 ± 0.165,0.702 ± 0.164,0.665 ± 0.231,0.657 ± 0.119,0.694 ± 0.216,11.600 ± 6.229
RandomForest,0.664 ± 0.155,0.728 ± 0.123,0.621 ± 0.125,0.616 ± 0.123,0.611 ± 0.171,0.649 ± 0.166,0.618 ± 0.153,0.583 ± 0.157,11.600 ± 6.229
NaiveBayes,0.657 ± 0.087,0.713 ± 0.154,0.647 ± 0.088,0.632 ± 0.081,0.643 ± 0.113,0.672 ± 0.158,0.646 ± 0.112,0.591 ± 0.199,11.600 ± 6.229
GradientBoosting,0.635 ± 0.159,0.700 ± 0.121,0.552 ± 0.140,0.580 ± 0.161,0.566 ± 0.184,0.625 ± 0.270,0.561 ± 0.162,0.536 ± 0.171,11.600 ± 6.229
XGBoost,0.626 ± 0.125,0.705 ± 0.122,0.577 ± 0.117,0.579 ± 0.112,0.586 ± 0.150,0.558 ± 0.189,0.554 ± 0.149,0.600 ± 0.137,11.600 ± 6.229
