Competitor,Competitor_Mean_AUC,ΔMean_AUC,p_value,p_Bonferroni,Significant_uncorrected,Significant_Bonferroni
LightGBM,0.7141,+0.0786,3.72e-02,1.00e+00,✓,✗
GradientBoosting,0.7279,+0.0648,7.13e-02,1.00e+00,✗,✗
ExtraTrees,0.7320,+0.0607,8.30e-02,1.00e+00,✗,✗
KNN,0.7329,+0.0599,1.76e-02,7.90e-01,✓,✗
XGBoost,0.7377,+0.0551,4.07e-02,1.00e+00,✓,✗
NaiveBayes,0.7585,+0.0342,1.89e-05,8.49e-04,✓,✓
RandomForest,0.7687,+0.0240,2.06e-01,1.00e+00,✗,✗
LogisticRegression,0.7832,+0.0095,4.09e-01,1.00e+00,✗,✗
SVM_RBF,0.7894,+0.0034,5.98e-02,1.00e+00,✗,✗
