Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_Linear,0.793 ± 0.051,0.847 ± 0.094,0.679 ± 0.087,0.684 ± 0.094,0.709 ± 0.127,0.775 ± 0.138,0.725 ± 0.066,0.593 ± 0.170,8.400 ± 5.367
SVM_RBF,0.789 ± 0.049,0.841 ± 0.115,0.660 ± 0.125,0.661 ± 0.136,0.701 ± 0.158,0.767 ± 0.167,0.711 ± 0.105,0.554 ± 0.263,8.400 ± 5.367
LogisticRegression,0.783 ± 0.065,0.835 ± 0.119,0.730 ± 0.123,0.737 ± 0.116,0.800 ± 0.139,0.676 ± 0.198,0.722 ± 0.156,0.798 ± 0.102,8.400 ± 5.367
RandomForest,0.769 ± 0.072,0.801 ± 0.132,0.660 ± 0.070,0.661 ± 0.071,0.718 ± 0.123,0.700 ± 0.175,0.685 ± 0.095,0.622 ± 0.219,8.400 ± 5.367
NaiveBayes,0.758 ± 0.076,0.827 ± 0.089,0.582 ± 0.137,0.573 ± 0.158,0.635 ± 0.158,0.776 ± 0.222,0.663 ± 0.122,0.370 ± 0.378,8.400 ± 5.367
XGBoost,0.738 ± 0.084,0.795 ± 0.142,0.666 ± 0.064,0.678 ± 0.048,0.715 ± 0.162,0.723 ± 0.126,0.699 ± 0.077,0.632 ± 0.182,8.400 ± 5.367
KNN,0.733 ± 0.099,0.754 ± 0.161,0.587 ± 0.092,0.602 ± 0.057,0.642 ± 0.118,0.646 ± 0.275,0.608 ± 0.149,0.559 ± 0.188,8.400 ± 5.367
ExtraTrees,0.732 ± 0.085,0.802 ± 0.123,0.684 ± 0.116,0.693 ± 0.121,0.782 ± 0.128,0.682 ± 0.246,0.692 ± 0.128,0.705 ± 0.270,8.400 ± 5.367
GradientBoosting,0.728 ± 0.097,0.765 ± 0.164,0.692 ± 0.055,0.686 ± 0.083,0.715 ± 0.138,0.784 ± 0.104,0.735 ± 0.059,0.588 ± 0.207,8.400 ± 5.367
LightGBM,0.714 ± 0.146,0.784 ± 0.163,0.654 ± 0.101,0.664 ± 0.109,0.721 ± 0.195,0.595 ± 0.154,0.645 ± 0.153,0.733 ± 0.125,8.400 ± 5.367
