,SVM_Linear,SVM_RBF,LogisticRegression,RandomForest,NaiveBayes,XGBoost,KNN,ExtraTrees,GradientBoosting,LightGBM
SVM_Linear,1.0,0.05977922410013001,0.4088296975139354,0.20604824726926974,1.8866000293443918e-05,0.04067129144586141,0.017563549265297188,0.0829719311008201,0.0712754930842179,0.03715826844900035
SVM_RBF,0.05977922410013001,1.0,0.10210780950623743,0.522698245609378,0.00011924434285002265,0.11882185622980562,0.04999615404961108,0.2568777716544848,0.2469064683385237,0.0942309244796825
LogisticRegression,0.4088296975139354,0.10210780950623743,1.0,0.08399606663830862,2.5090076906309106e-05,0.013887378254629233,0.009256370724368601,0.0348417845837971,0.018869245212720123,0.010317425630330182
RandomForest,0.20604824726926974,0.522698245609378,0.08399606663830862,1.0,0.007137877947591711,0.1524194280510661,0.10005708656264238,0.5431023762060114,0.38226402969281736,0.07398362581862251
NaiveBayes,1.8866000293443918e-05,0.00011924434285002265,2.5090076906309106e-05,0.007137877947591711,1.0,0.046064071362170084,0.07986304516312256,0.009133794356414487,0.03247436228288943,0.3319875368812074
XGBoost,0.04067129144586141,0.11882185622980562,0.013887378254629233,0.1524194280510661,0.046064071362170084,1.0,0.5948997294842704,0.6123244291245933,0.6691023377965226,0.4068681061467604
KNN,0.017563549265297188,0.04999615404961108,0.009256370724368601,0.10005708656264238,0.07986304516312256,0.5948997294842704,1.0,0.2917387601258866,0.4565605253923759,0.7174763593307536
ExtraTrees,0.0829719311008201,0.2568777716544848,0.0348417845837971,0.5431023762060114,0.009133794356414487,0.6123244291245933,0.2917387601258866,1.0,0.8497652702190124,0.2710713230129501
GradientBoosting,0.0712754930842179,0.2469064683385237,0.018869245212720123,0.38226402969281736,0.03247436228288943,0.6691023377965226,0.4565605253923759,0.8497652702190124,1.0,0.22510459467048594
LightGBM,0.03715826844900035,0.0942309244796825,0.010317425630330182,0.07398362581862251,0.3319875368812074,0.4068681061467604,0.7174763593307536,0.2710713230129501,0.22510459467048594,1.0
