,SVM_Linear,SVM_RBF,LogisticRegression,RandomForest,NaiveBayes,XGBoost,KNN,ExtraTrees,GradientBoosting,LightGBM
SVM_Linear,0.0,1.8824184403835529,-0.8259548619331983,1.2645066168394292,4.277905586016088,2.0468655089226955,2.374693046144568,1.7336965944639526,1.803718211674087,2.0840208753996827
SVM_RBF,-1.8824184403835529,0.0,-1.6347197538945513,0.6391916774333258,3.8476744920125268,1.559737797117242,1.9599968878663325,1.1338016192032192,1.157896028776262,1.6734897409885652
LogisticRegression,0.8259548619331983,1.6347197538945513,0.0,1.7279562595762095,4.213987867680179,2.4601633731911825,2.6024374183455343,2.110192426860058,2.3481041311658997,2.565005208279769
RandomForest,-1.2645066168394292,-0.6391916774333258,-1.7279562595762095,0.0,2.6903422195212534,1.4310376392793496,1.6445769351425072,0.6081283116723156,0.8737323491452509,1.7867146143331725
NaiveBayes,-4.277905586016088,-3.8476744920125268,-4.213987867680179,-2.6903422195212534,0.0,-1.9948057375395984,-1.7514812679644187,-2.607005311061316,-2.138522471730029,-0.9701182826776202
XGBoost,-2.0468655089226955,-1.559737797117242,-2.4601633731911825,-1.4310376392793496,1.9948057375395984,0.0,0.5317491733853004,-0.5067582849535135,-0.42738032194110226,0.8294176700463046
KNN,-2.374693046144568,-1.9599968878663325,-2.6024374183455343,-1.6445769351425072,1.7514812679644187,-0.5317491733853004,0.0,-1.0543149199142459,-0.7445223494296495,0.3618336300981008
ExtraTrees,-1.7336965944639526,-1.1338016192032192,-2.110192426860058,-0.6081283116723156,2.607005311061316,0.5067582849535135,1.0543149199142459,0.0,0.18941793320480765,1.100598765628501
GradientBoosting,-1.803718211674087,-1.157896028776262,-2.3481041311658997,-0.8737323491452509,2.138522471730029,0.42738032194110226,0.7445223494296495,-0.18941793320480765,0.0,1.2130659821885983
LightGBM,-2.0840208753996827,-1.6734897409885652,-2.565005208279769,-1.7867146143331725,0.9701182826776202,-0.8294176700463046,-0.3618336300981008,-1.100598765628501,-1.2130659821885983,0.0
