Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K,Run_Name,Run_Dir,Experiment_ID,FS_METHOD,FS_N_FEATURES,USE_SMOTE,N_Unique_Selected_Features,Max_Selection_Count,Mean_Selection_Count
LogisticRegression,0.7773015873015873,0.073696961446726,0.7565079365079365,0.8283830077799191,0.0871250274183597,0.80910013080489,0.6828011204481792,0.0736548429956348,0.672566371681416,0.6887698412698413,0.073027474923664,0.6774603174603174,0.7566239316239316,0.1181421057992677,0.7407407407407407,0.6606349206349206,0.1139518934182554,0.6349206349206349,0.6919786096256685,0.0816022782320479,0.6837606837606838,0.7169047619047618,0.1507133453668099,0.72,10.4,10.4,4.6303347611160905,4,12.0,16,corr_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Post1_Post2/fs_method_comparison/corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k,corr_mrmr,auto,False,38,3,1.368421052631579
SVM_RBF,0.7743253968253968,0.0740669686690404,0.7507936507936508,0.8331580108658466,0.0942524392084998,0.8130988296916959,0.723375350140056,0.1194615509289509,0.7079646017699115,0.7389285714285714,0.0970541469109005,0.7030158730158731,0.7808239962651727,0.1846598526051633,0.734375,0.7814285714285714,0.1729005003416489,0.746031746031746,0.7479446479446479,0.122411189700222,0.7401574803149606,0.6964285714285714,0.2248708372022399,0.66,7.6,7.6,3.878143885933063,4,6.0,14,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Post1_Post2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,29,4,1.3103448275862069
RandomForest,0.7717857142857143,0.0484992071219602,0.7371428571428571,0.8075322521007567,0.1088498778104811,0.7468241767456385,0.7037535014005603,0.071815241097517,0.6991150442477876,0.724920634920635,0.0648939480213364,0.6971428571428572,0.7579267791032496,0.1090797604110692,0.7377049180327869,0.7531746031746032,0.1740322556353037,0.7142857142857143,0.731833568595819,0.0606711791453811,0.7258064516129032,0.6966666666666665,0.1301281419729542,0.68,10.4,10.4,4.6303347611160905,4,12.0,16,corr_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Post1_Post2/fs_method_comparison/corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k,corr_mrmr,auto,False,38,3,1.368421052631579
SVM_Linear,0.7717857142857143,0.0922728189482366,0.7317460317460316,0.8303098293571761,0.0933075897541317,0.7812346512750787,0.6715126050420167,0.0601942209822225,0.6637168141592921,0.6750396825396826,0.0595011067816292,0.650952380952381,0.6928751803751804,0.114354842891426,0.676056338028169,0.7960317460317461,0.1485124017868707,0.7619047619047619,0.7219047619047619,0.0624953513010396,0.7164179104477612,0.5540476190476191,0.1435728105437713,0.54,10.4,10.4,4.6303347611160905,4,12.0,16,corr_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Post1_Post2/fs_method_comparison/corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k,corr_mrmr,auto,False,38,3,1.368421052631579
SVM_Linear,0.7664682539682539,0.069787587594157,0.7368253968253968,0.8211562786304547,0.0815764904369387,0.7827696023735531,0.6865126050420167,0.0452176155393316,0.6814159292035398,0.6871825396825397,0.0486025421666834,0.6771428571428572,0.7187146187146187,0.0873533947975895,0.7142857142857143,0.7417460317460318,0.1100305736388689,0.7142857142857143,0.7188148148148148,0.0500240819920718,0.7142857142857143,0.6326190476190476,0.1005641682083516,0.64,10.4,10.4,4.6303347611160905,4,12.0,16,corr_mrmr_auto_k_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Post1_Post2/fs_method_comparison/corr_mrmr_auto_k_smote,corr_mrmr_auto_k,corr_mrmr,auto,True,38,3,1.368421052631579
GradientBoosting,0.7660714285714285,0.0565745549881644,0.7314285714285715,0.8275379790068366,0.0914633675350427,0.8011849239487139,0.6832773109243696,0.0798107790539654,0.672566371681416,0.6986507936507937,0.074779258593189,0.6671428571428571,0.7316666666666667,0.1418283391208463,0.703125,0.7506349206349207,0.1453021803276251,0.7142857142857143,0.7178716020821284,0.0774333497442541,0.7086614173228346,0.6466666666666667,0.1730125236314797,0.62,10.4,10.4,4.6303347611160905,4,12.0,16,corr_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Post1_Post2/fs_method_comparison/corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k,corr_mrmr,auto,False,38,3,1.368421052631579
SVM_Linear,0.7649603174603175,0.0874044848147647,0.7561904761904762,0.8344601687822303,0.0873798971742033,0.8244391398696926,0.7283753501400559,0.0964571164591625,0.7168141592920354,0.7386904761904762,0.0929825499657626,0.7233333333333334,0.8022222222222222,0.1504560967094289,0.7924528301886793,0.6928571428571428,0.1938458554404859,0.6666666666666666,0.7229269755585545,0.132930125038209,0.7241379310344828,0.7845238095238095,0.1321589436797897,0.78,7.6,7.6,3.878143885933063,4,6.0,14,mrmr_then_elasticnet_no_corr_auto_k_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Post1_Post2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,True,29,4,1.3103448275862069
KNN,0.7648809523809523,0.0880474988624519,0.7142857142857143,0.7706643684546161,0.1595390098737304,0.7324177000403131,0.655280112044818,0.1199826323194883,0.6371681415929203,0.6674206349206349,0.1079705245183935,0.6292063492063492,0.7048265460030165,0.1406386619812525,0.6666666666666666,0.7450793650793651,0.1898895728749246,0.6984126984126984,0.6961320926838168,0.1213028165111601,0.6821705426356589,0.5897619047619047,0.2086583858738125,0.56,7.6,7.6,5.425863986500215,4,4.0,18,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Post1_Post2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,22,3,1.7272727272727273
LightGBM,0.7642063492063492,0.0707090746837376,0.7593650793650792,0.7838413549678107,0.115184710348957,0.7702978139521413,0.7437535014005603,0.0776847894997949,0.7345132743362832,0.74,0.0702940768745005,0.733015873015873,0.7635964035964037,0.1135865383516413,0.7704918032786885,0.758095238095238,0.1258384828227568,0.746031746031746,0.7560708222168324,0.105633671277774,0.7580645161290323,0.7219047619047619,0.0582706174036942,0.72,7.6,7.6,5.425863986500215,4,4.0,18,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Post1_Post2/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,True,22,3,1.7272727272727273
SVM_Linear,0.763531746031746,0.0921108936535457,0.7415873015873015,0.8332618201847589,0.0963009141512279,0.8042542272696114,0.6866106442577031,0.1312255079469205,0.672566371681416,0.6980952380952381,0.1163399485261999,0.6671428571428571,0.7408403361344538,0.2045272502329381,0.703125,0.7414285714285713,0.1865713502461679,0.7142857142857143,0.7106506850681079,0.1437475192657962,0.7086614173228346,0.6547619047619048,0.2195129632688782,0.62,7.6,7.6,3.878143885933063,4,6.0,14,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch_smote_compare/ADC_Post1_Post2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,29,4,1.3103448275862069
