fold,C,gamma
1,0.4819437348329684,0.0300302028157839
2,9.684630849667332,0.03761349452056581
3,0.4906452637339394,0.009365595891773635
4,2.6896592262131676,0.0018898812050207516
5,8.406007895248957,0.0019273561933045114
