Metric,Value
ROC-AUC,0.62146614069691
PR-AUC,0.680921242054071
Balanced Acc.,0.5705128205128205
Sensitivity,0.5641025641025641
Specificity,0.5769230769230769
PPV,0.625
NPV,0.5142857142857142
Kappa,0.13932868904369855
