Metric,Value
ROC-AUC,0.7165624999999999
PR-AUC,0.765348575060879
Balanced Acc.,0.6725
Sensitivity,0.625
Specificity,0.72
PPV,0.7407407407407407
NPV,0.6
Kappa,0.3376146788990825
