model,mean_auc,std_auc,pooled_auc,mean_pr_auc,std_pr_auc,pooled_pr_auc,mean_accuracy,std_accuracy,pooled_accuracy,mean_bal_accuracy,std_bal_accuracy,pooled_bal_accuracy,mean_f1,std_f1,pooled_f1,mean_precision,std_precision,pooled_precision,mean_recall,std_recall,pooled_recall,n_samples,n_folds
LogisticRegression,0.7928289387380296,0.04983775888965026,0.7215625,0.8314428279565702,0.08042065455627427,0.776875828736354,0.6773212294951426,0.062388798004483714,0.6754385964912281,0.7138583200425306,0.044081829673202434,0.6825,0.6825108225108225,0.060012929399073586,0.6837606837606838,0.7783272283272283,0.1573543739763317,0.7547169811320755,0.6587772461456672,0.16141154119003534,0.625,114,5
SVM_RBF,0.7660131389078757,0.0836033422137231,0.70375,0.8001094614468555,0.10272171413424815,0.7324738065265057,0.6177054829228742,0.0902039392580512,0.6140350877192983,0.645832004253057,0.08810815595115443,0.6168750000000001,0.6295970695970696,0.10553504512073117,0.6333333333333333,0.697985347985348,0.16961961574517057,0.6785714285714286,0.6310579479000531,0.19284603007565565,0.59375,114,5
SVM_Linear,0.7574740340290579,0.08118858632956392,0.6853125,0.8035657340744835,0.10312815690146783,0.7435894429766716,0.5889965107356412,0.08076271801105896,0.5877192982456141,0.6186709197235513,0.09500335519998522,0.586875,0.6133940133940133,0.09434289256215254,0.6178861788617886,0.6652680652680653,0.18575968034620208,0.6440677966101694,0.6282509303561935,0.18418368990416142,0.59375,114,5
KNN,0.7312668494008207,0.12308811752964839,0.6818749999999999,0.7817884666472714,0.12292033206265578,0.7638211583669821,0.6494780581737103,0.07481843789783955,0.6491228070175439,0.678288144603934,0.08772661456769819,0.6546875,0.6481532567049808,0.11548709416442172,0.6610169491525424,0.7195238095238096,0.1743039282702224,0.7222222222222222,0.6293035619351408,0.18586147635760739,0.609375,114,5
RandomForest,0.7104847863460304,0.14182727226779937,0.6321875,0.7563082548244137,0.17232260977265174,0.643916693990188,0.6082193169149691,0.10859188804339064,0.6052631578947368,0.6283320042530569,0.11313929744922087,0.6046875,0.6229611248966087,0.13973152595367588,0.6341463414634146,0.6770238095238096,0.19561795219241676,0.6610169491525424,0.6377246145667198,0.21514319988103522,0.609375,114,5
XGBoost,0.707206894647086,0.12902203385497701,0.6540625000000001,0.7318863433907976,0.15776987482141921,0.6750411449725554,0.6063878150834673,0.1017434864414409,0.6052631578947368,0.6327618288144603,0.10820689256298845,0.6025,0.6346313711830953,0.11364470873552793,0.64,0.6767399267399268,0.19701546160592423,0.6557377049180327,0.6549175970228601,0.1780612373031748,0.625,114,5
GradientBoosting,0.6938871628106077,0.16548967927661434,0.6320312499999999,0.7425124554769473,0.17976260795924343,0.699856109594797,0.5799432451606364,0.09727892627404401,0.5789473684210527,0.6015244550770866,0.12172573740926618,0.576875,0.5981401813713026,0.147517443812774,0.6129032258064516,0.6428571428571429,0.21402100051661174,0.6333333333333333,0.6189580010632642,0.22615466919622576,0.59375,114,5
NaiveBayes,0.6900824374987055,0.10137807428011425,0.5340625,0.7537246904636205,0.1536956169387516,0.6338083639653869,0.5523129044868175,0.12803935650164397,0.5526315789473685,0.6010699096225411,0.14334873334266093,0.538125,0.6289730639730639,0.06568091579886799,0.6222222222222222,0.676092796092796,0.23240985633738992,0.5915492957746479,0.7104731525784157,0.19719989762284168,0.65625,114,5
ExtraTrees,0.6890211525139756,0.11386173993460971,0.6078125000000001,0.7636304565740499,0.10795550646907057,0.6523960408850848,0.6066455283846588,0.10635528313036674,0.6052631578947368,0.6306007442849548,0.12216775120767996,0.606875,0.620936100936101,0.1251711276778968,0.628099173553719,0.673939393939394,0.19124645516079572,0.6666666666666666,0.6187772461456672,0.19275856743863773,0.59375,114,5
LightGBM,0.6864420866215125,0.1524427720616438,0.61578125,0.7248610538485292,0.1848556801675245,0.7006247737487679,0.5809465896422418,0.09963169645866497,0.5789473684210527,0.6104279638490164,0.10878929859461546,0.5790625,0.6000746879307599,0.12498443139579085,0.6065573770491803,0.6632034632034632,0.20698617115901066,0.6379310344827587,0.6102498670919723,0.1985966221578754,0.578125,114,5
