,XGBoost,GradientBoosting,SVM_RBF,SVM_Linear,LogisticRegression,ExtraTrees,KNN,RandomForest,LightGBM,NaiveBayes
XGBoost,0.0,-0.11712861417852193,1.2432792498827552,1.8199247413240527,1.8379788992067947,2.350025371531554,1.5894133865803959,2.457738525652032,2.742100146432673,2.4804033733441524
GradientBoosting,0.11712861417852193,0.0,1.4572728252977818,2.0648192358463686,2.0385020617521823,2.2904571981837245,1.8041862734334082,2.9349289524978825,2.630794896799556,2.6107831184017876
SVM_RBF,-1.2432792498827552,-1.4572728252977818,0.0,0.8962707355324905,0.8299218876792833,1.0588201411124216,0.6174178008734874,0.6135532872299801,1.1182776034123885,1.7278621433754273
SVM_Linear,-1.8199247413240527,-2.0648192358463686,-0.8962707355324905,0.0,-0.20572671822259117,0.44703701476379437,0.06906230971946181,-0.05391318829419642,0.6274303493853001,1.3161965584662927
LogisticRegression,-1.8379788992067947,-2.0385020617521823,-0.8299218876792833,0.20572671822259117,0.0,0.5907217786424094,0.15254848784119432,0.0651020346606594,0.7236650875155257,1.415129826482946
ExtraTrees,-2.350025371531554,-2.2904571981837245,-1.0588201411124216,-0.44703701476379437,-0.5907217786424094,0.0,-0.24042209993490407,-0.4701548274700821,0.27528481573718844,0.9826270415344122
KNN,-1.5894133865803959,-1.8041862734334082,-0.6174178008734874,-0.06906230971946181,-0.15254848784119432,0.24042209993490407,0.0,-0.10029698997096843,0.4231243923022673,1.1923342304512448
RandomForest,-2.457738525652032,-2.9349289524978825,-0.6135532872299801,0.05391318829419642,-0.0651020346606594,0.4701548274700821,0.10029698997096843,0.0,0.8892890234020865,1.2944107106153524
LightGBM,-2.742100146432673,-2.630794896799556,-1.1182776034123885,-0.6274303493853001,-0.7236650875155257,-0.27528481573718844,-0.4231243923022673,-0.8892890234020865,0.0,0.8114886073990802
NaiveBayes,-2.4804033733441524,-2.6107831184017876,-1.7278621433754273,-1.3161965584662927,-1.415129826482946,-0.9826270415344122,-1.1923342304512448,-1.2944107106153524,-0.8114886073990802,0.0
