Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
XGBoost,0.665 ± 0.156,0.709 ± 0.231,0.642 ± 0.115,0.649 ± 0.072,0.669 ± 0.188,0.699 ± 0.144,0.661 ± 0.136,0.598 ± 0.197,10.000 ± 5.477
GradientBoosting,0.656 ± 0.123,0.715 ± 0.207,0.605 ± 0.134,0.616 ± 0.086,0.645 ± 0.194,0.676 ± 0.123,0.636 ± 0.134,0.556 ± 0.227,10.000 ± 5.477
SVM_RBF,0.640 ± 0.123,0.717 ± 0.047,0.586 ± 0.107,0.600 ± 0.096,0.627 ± 0.135,0.556 ± 0.202,0.566 ± 0.139,0.644 ± 0.104,10.000 ± 5.477
SVM_Linear,0.638 ± 0.115,0.689 ± 0.136,0.559 ± 0.138,0.579 ± 0.112,0.595 ± 0.176,0.580 ± 0.222,0.560 ± 0.172,0.578 ± 0.152,10.000 ± 5.477
LogisticRegression,0.634 ± 0.118,0.690 ± 0.135,0.598 ± 0.123,0.612 ± 0.107,0.633 ± 0.168,0.610 ± 0.181,0.601 ± 0.146,0.613 ± 0.132,10.000 ± 5.477
ExtraTrees,0.629 ± 0.120,0.671 ± 0.198,0.608 ± 0.124,0.610 ± 0.104,0.621 ± 0.160,0.669 ± 0.213,0.622 ± 0.163,0.551 ± 0.170,10.000 ± 5.477
KNN,0.610 ± 0.108,0.687 ± 0.120,0.521 ± 0.126,0.555 ± 0.094,0.583 ± 0.177,0.606 ± 0.249,0.554 ± 0.117,0.504 ± 0.249,10.000 ± 5.477
RandomForest,0.600 ± 0.141,0.667 ± 0.184,0.605 ± 0.111,0.611 ± 0.089,0.619 ± 0.160,0.658 ± 0.169,0.622 ± 0.141,0.564 ± 0.081,10.000 ± 5.477
LightGBM,0.562 ± 0.168,0.631 ± 0.218,0.583 ± 0.140,0.583 ± 0.117,0.618 ± 0.221,0.577 ± 0.173,0.580 ± 0.186,0.589 ± 0.193,10.000 ± 5.477
NaiveBayes,0.520 ± 0.108,0.606 ± 0.138,0.516 ± 0.121,0.506 ± 0.066,0.523 ± 0.137,0.728 ± 0.276,0.582 ± 0.190,0.284 ± 0.216,10.000 ± 5.477
