,SVM_RBF,SVM_Linear,LogisticRegression,ExtraTrees,RandomForest,KNN,NaiveBayes,GradientBoosting,XGBoost,LightGBM
SVM_RBF,0.0,1.2400701974547492,1.1495891538372738,1.9593145441770956,1.26119939104759,2.1114758593837313,3.6415942516461386,1.4888210381191178,1.966559423764387,2.3240479343250513
SVM_Linear,-1.2400701974547492,0.0,0.15673867573175398,1.2025965693506415,0.7294078019984487,1.3669278971653427,3.2818581174084556,1.0466210874642858,1.4728320612589743,1.9414344308225386
LogisticRegression,-1.1495891538372738,-0.15673867573175398,0.0,1.168237593940439,0.7150454572196372,1.311513540959057,3.326207432107648,1.0560051871324678,1.4865961051134255,1.9963306763537438
ExtraTrees,-1.9593145441770956,-1.2025965693506415,-1.168237593940439,0.0,-0.3356034211615923,0.4446392915181443,2.2510144058717163,0.2166167402779801,0.7552369858665264,1.3376039037030347
RandomForest,-1.26119939104759,-0.7294078019984487,-0.7150454572196372,0.3356034211615923,0.0,0.6338225609987717,2.3398506008003794,0.5174071664856337,1.1176379932904754,1.6605169286536046
KNN,-2.1114758593837313,-1.3669278971653427,-1.311513540959057,-0.4446392915181443,-0.6338225609987717,0.0,2.188531301471667,-0.1397566147672725,0.2286795363476641,0.8975698587829664
NaiveBayes,-3.6415942516461386,-3.2818581174084556,-3.326207432107648,-2.2510144058717163,-2.3398506008003794,-2.188531301471667,0.0,-1.9503904469303355,-1.690572002943811,-0.7987683712227719
GradientBoosting,-1.4888210381191178,-1.0466210874642858,-1.0560051871324678,-0.2166167402779801,-0.5174071664856337,0.1397566147672725,1.9503904469303355,0.0,0.44986707710449664,1.2687206227542964
XGBoost,-1.966559423764387,-1.4728320612589743,-1.4865961051134255,-0.7552369858665264,-1.1176379932904754,-0.2286795363476641,1.690572002943811,-0.44986707710449664,0.0,0.9241927878250431
LightGBM,-2.3240479343250513,-1.9414344308225386,-1.9963306763537438,-1.3376039037030347,-1.6605169286536046,-0.8975698587829664,0.7987683712227719,-1.2687206227542964,-0.9241927878250431,0.0
