,SVM_RBF,SVM_Linear,LogisticRegression,ExtraTrees,LightGBM,RandomForest,NaiveBayes,GradientBoosting,KNN,XGBoost
SVM_RBF,0.0,0.6458144764574689,1.4298284520253983,1.1078688846955778,1.6978369383448821,2.209798534864926,1.5368633335959507,2.6810667762278757,1.2012311731211154,2.8348304746075557
SVM_Linear,-0.6458144764574689,0.0,0.7268469189875402,0.7255815602483587,1.522359295004598,1.7868140992916788,1.2867170506738923,2.330464369598887,1.0640022235579234,2.633242102351212
LogisticRegression,-1.4298284520253983,-0.7268469189875402,0.0,0.31527396693091464,1.295530482183896,1.590630598656725,1.0618595929856907,2.1849244354715776,0.9141571308468289,2.5018239099700894
ExtraTrees,-1.1078688846955778,-0.7255815602483587,-0.31527396693091464,0.0,1.3188050686568997,1.737035321804944,1.0397864908234908,2.3450440531179244,0.8444117593546357,2.4007257728277596
LightGBM,-1.6978369383448821,-1.522359295004598,-1.295530482183896,-1.3188050686568997,0.0,-0.06238376431006588,-0.17102818675291528,0.7843343103531787,-0.03913058186153861,1.4547270767256246
RandomForest,-2.209798534864926,-1.7868140992916788,-1.590630598656725,-1.737035321804944,0.06238376431006588,0.0,-0.13733185085377125,1.079223355554532,0.0,1.7129009632723147
NaiveBayes,-1.5368633335959507,-1.2867170506738923,-1.0618595929856907,-1.0397864908234908,0.17102818675291528,0.13733185085377125,0.0,0.9402622581823583,0.10068887633359726,1.3738703774039474
GradientBoosting,-2.6810667762278757,-2.330464369598887,-2.1849244354715776,-2.3450440531179244,-0.7843343103531787,-1.079223355554532,-0.9402622581823583,0.0,-0.6668771984918732,0.8823078258747408
KNN,-1.2012311731211154,-1.0640022235579234,-0.9141571308468289,-0.8444117593546357,0.03913058186153861,-0.0,-0.10068887633359726,0.6668771984918732,0.0,1.6949233266635666
XGBoost,-2.8348304746075557,-2.633242102351212,-2.5018239099700894,-2.4007257728277596,-1.4547270767256246,-1.7129009632723147,-1.3738703774039474,-0.8823078258747408,-1.6949233266635666,0.0
