Competitor,Competitor_Mean_AUC,ΔMean_AUC,p_value,p_Bonferroni,Significant_uncorrected,Significant_Bonferroni
XGBoost,0.6657,+0.0976,4.59e-03,2.06e-01,✓,✗
KNN,0.6805,+0.0828,2.30e-01,1.00e+00,✗,✗
GradientBoosting,0.7003,+0.0630,7.34e-03,3.30e-01,✓,✗
NaiveBayes,0.7049,+0.0584,1.24e-01,1.00e+00,✗,✗
RandomForest,0.7125,+0.0508,2.71e-02,1.00e+00,✓,✗
LightGBM,0.7191,+0.0442,8.95e-02,1.00e+00,✗,✗
ExtraTrees,0.7419,+0.0214,2.68e-01,1.00e+00,✗,✗
LogisticRegression,0.7491,+0.0142,1.53e-01,1.00e+00,✗,✗
SVM_Linear,0.7589,+0.0044,5.18e-01,1.00e+00,✗,✗
