,SVM_RBF,SVM_Linear,LogisticRegression,ExtraTrees,LightGBM,RandomForest,NaiveBayes,GradientBoosting,KNN,XGBoost
SVM_RBF,1.0,0.5183995115859672,0.1527662609428225,0.26791844519318386,0.08953854209096643,0.02711914746458603,0.12432678012890018,0.007338786988936243,0.2296615403011114,0.0045850008719697235
SVM_Linear,0.5183995115859672,1.0,0.467319737194403,0.46809532872550896,0.1279190782321944,0.07396753978084714,0.1981929278611385,0.01978162107918286,0.28732769224917043,0.008457403776437035
LogisticRegression,0.1527662609428225,0.467319737194403,1.0,0.752553649223593,0.19513729299925042,0.1116927340415865,0.2882994312072935,0.028894387539084455,0.360634286326998,0.012355536157703838
ExtraTrees,0.26791844519318386,0.46809532872550896,0.752553649223593,1.0,0.18723428930338282,0.0823809363975669,0.29843910675951246,0.01902483159978054,0.3984393534709003,0.016362593463415565
LightGBM,0.08953854209096643,0.1279190782321944,0.19513729299925042,0.18723428930338282,1.0,0.9502572239786935,0.8642016022933392,0.4328439721398747,0.9687862788349689,0.1457448334650012
RandomForest,0.02711914746458603,0.07396753978084714,0.1116927340415865,0.0823809363975669,0.9502572239786935,1.0,0.8907684955986495,0.2804881704327786,1.0,0.08673076104745345
NaiveBayes,0.12432678012890018,0.1981929278611385,0.2882994312072935,0.29843910675951246,0.8642016022933392,0.8907684955986495,1.0,0.34708305386795635,0.9197974418951337,0.1694819274635101
GradientBoosting,0.007338786988936243,0.01978162107918286,0.028894387539084455,0.01902483159978054,0.4328439721398747,0.2804881704327786,0.34708305386795635,1.0,0.5048505765904763,0.37761036555853333
KNN,0.2296615403011114,0.28732769224917043,0.360634286326998,0.3984393534709003,0.9687862788349689,1.0,0.9197974418951337,0.5048505765904763,1.0,0.09008996676896322
XGBoost,0.0045850008719697235,0.008457403776437035,0.012355536157703838,0.016362593463415565,0.1457448334650012,0.08673076104745345,0.1694819274635101,0.37761036555853333,0.09008996676896322,1.0
