Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_RBF,0.812 ± 0.040,0.849 ± 0.086,0.705 ± 0.056,0.700 ± 0.066,0.733 ± 0.170,0.843 ± 0.197,0.751 ± 0.068,0.556 ± 0.294,7.600 ± 3.286
ExtraTrees,0.792 ± 0.076,0.824 ± 0.160,0.705 ± 0.043,0.703 ± 0.041,0.743 ± 0.105,0.742 ± 0.152,0.727 ± 0.070,0.665 ± 0.153,7.600 ± 3.286
LogisticRegression,0.779 ± 0.053,0.834 ± 0.094,0.720 ± 0.090,0.710 ± 0.070,0.756 ± 0.121,0.733 ± 0.184,0.730 ± 0.115,0.687 ± 0.180,7.600 ± 3.286
SVM_Linear,0.778 ± 0.064,0.827 ± 0.097,0.725 ± 0.064,0.724 ± 0.057,0.746 ± 0.135,0.804 ± 0.145,0.757 ± 0.079,0.644 ± 0.176,7.600 ± 3.286
RandomForest,0.760 ± 0.059,0.789 ± 0.118,0.717 ± 0.098,0.716 ± 0.088,0.744 ± 0.156,0.733 ± 0.213,0.723 ± 0.149,0.700 ± 0.113,7.600 ± 3.286
NaiveBayes,0.757 ± 0.054,0.818 ± 0.053,0.593 ± 0.117,0.585 ± 0.070,0.635 ± 0.183,0.833 ± 0.229,0.680 ± 0.108,0.336 ± 0.334,7.600 ± 3.286
KNN,0.745 ± 0.073,0.757 ± 0.158,0.680 ± 0.075,0.680 ± 0.036,0.702 ± 0.152,0.793 ± 0.178,0.721 ± 0.093,0.566 ± 0.189,7.600 ± 3.286
GradientBoosting,0.733 ± 0.067,0.758 ± 0.139,0.690 ± 0.091,0.677 ± 0.070,0.695 ± 0.148,0.772 ± 0.156,0.722 ± 0.122,0.583 ± 0.145,7.600 ± 3.286
LightGBM,0.687 ± 0.096,0.744 ± 0.125,0.662 ± 0.112,0.654 ± 0.110,0.686 ± 0.190,0.705 ± 0.165,0.686 ± 0.148,0.603 ± 0.184,7.600 ± 3.286
XGBoost,0.678 ± 0.048,0.729 ± 0.114,0.660 ± 0.082,0.657 ± 0.046,0.686 ± 0.165,0.773 ± 0.168,0.704 ± 0.100,0.541 ± 0.208,7.600 ± 3.286
