,LightGBM,XGBoost,SVM_RBF,SVM_Linear,GradientBoosting,RandomForest,ExtraTrees,LogisticRegression,KNN,NaiveBayes
LightGBM,1.0,0.22313112729521256,0.658319970336267,0.495689590287022,0.010034882123402335,0.34335427288345477,0.04451116775550093,0.14407423459145732,0.13892594318701,0.04158833863248562
XGBoost,0.22313112729521256,1.0,0.5675569248035108,0.7430553282839774,0.08874739517758179,0.7686052263865318,0.33363200751902267,0.6576476978833966,0.5830747473409483,0.22963951458496457
SVM_RBF,0.658319970336267,0.5675569248035108,1.0,0.6990524470846091,0.04780705238841355,0.6289120651307418,0.10244308327933145,0.11878180750625228,0.18660607357581693,0.06934381813287253
SVM_Linear,0.495689590287022,0.7430553282839774,0.6990524470846091,1.0,0.05369800557514037,0.8801771974902745,0.21947571409520084,0.005977459583522381,0.3471596401410717,0.06095960073981893
GradientBoosting,0.010034882123402335,0.08874739517758179,0.04780705238841355,0.05369800557514037,1.0,0.04932283401025639,0.4099190849633634,0.26840130721222066,0.3337849397958961,0.7746439997540748
RandomForest,0.34335427288345477,0.7686052263865318,0.6289120651307418,0.8801771974902745,0.04932283401025639,1.0,0.12623225411877018,0.4421951325947906,0.38747296247260543,0.14252269392576952
ExtraTrees,0.04451116775550093,0.33363200751902267,0.10244308327933145,0.21947571409520084,0.4099190849633634,0.12623225411877018,1.0,0.7381524000003175,0.7419136305685632,0.44428895253038125
LogisticRegression,0.14407423459145732,0.6576476978833966,0.11878180750625228,0.005977459583522381,0.26840130721222066,0.4421951325947906,0.7381524000003175,1.0,0.9710255243089252,0.23032995128375278
KNN,0.13892594318701,0.5830747473409483,0.18660607357581693,0.3471596401410717,0.3337849397958961,0.38747296247260543,0.7419136305685632,0.9710255243089252,1.0,0.33479944707155185
NaiveBayes,0.04158833863248562,0.22963951458496457,0.06934381813287253,0.06095960073981893,0.7746439997540748,0.14252269392576952,0.44428895253038125,0.23032995128375278,0.33479944707155185,1.0
