Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
NaiveBayes,0.735 ± 0.064,0.739 ± 0.192,0.604 ± 0.098,0.617 ± 0.097,0.631 ± 0.224,0.660 ± 0.173,0.613 ± 0.155,0.573 ± 0.277,10.000 ± 5.657
LogisticRegression,0.721 ± 0.101,0.772 ± 0.103,0.588 ± 0.042,0.581 ± 0.057,0.619 ± 0.220,0.500 ± 0.207,0.529 ± 0.167,0.663 ± 0.191,10.000 ± 5.657
SVM_Linear,0.709 ± 0.078,0.764 ± 0.101,0.592 ± 0.055,0.629 ± 0.023,0.632 ± 0.176,0.700 ± 0.252,0.614 ± 0.094,0.557 ± 0.229,10.000 ± 5.657
ExtraTrees,0.707 ± 0.121,0.771 ± 0.072,0.646 ± 0.073,0.653 ± 0.058,0.724 ± 0.183,0.566 ± 0.159,0.606 ± 0.076,0.739 ± 0.182,10.000 ± 5.657
GradientBoosting,0.652 ± 0.117,0.717 ± 0.129,0.532 ± 0.144,0.577 ± 0.085,0.575 ± 0.197,0.680 ± 0.258,0.577 ± 0.148,0.475 ± 0.228,10.000 ± 5.657
RandomForest,0.649 ± 0.137,0.732 ± 0.101,0.580 ± 0.069,0.555 ± 0.027,0.579 ± 0.146,0.511 ± 0.207,0.530 ± 0.155,0.599 ± 0.188,10.000 ± 5.657
XGBoost,0.642 ± 0.103,0.686 ± 0.135,0.558 ± 0.098,0.575 ± 0.058,0.591 ± 0.195,0.590 ± 0.172,0.559 ± 0.153,0.561 ± 0.160,10.000 ± 5.657
SVM_RBF,0.637 ± 0.208,0.723 ± 0.164,0.547 ± 0.095,0.597 ± 0.068,0.477 ± 0.314,0.586 ± 0.400,0.485 ± 0.291,0.607 ± 0.299,10.000 ± 5.657
KNN,0.629 ± 0.096,0.707 ± 0.130,0.561 ± 0.094,0.592 ± 0.051,0.592 ± 0.174,0.724 ± 0.210,0.611 ± 0.105,0.460 ± 0.201,10.000 ± 5.657
LightGBM,0.624 ± 0.107,0.687 ± 0.141,0.543 ± 0.094,0.542 ± 0.111,0.564 ± 0.242,0.531 ± 0.154,0.534 ± 0.186,0.553 ± 0.149,10.000 ± 5.657
