,SVM_RBF,SVM_Linear,ExtraTrees,LogisticRegression,NaiveBayes,RandomForest,GradientBoosting,XGBoost,KNN,LightGBM
SVM_RBF,1.0,0.935185823583655,0.8255711877052186,0.4251312970612128,0.03410252662695017,0.5487496226403666,0.03218984408030665,0.08964751300352211,0.019227551398863257,0.2224891746538291
SVM_Linear,0.935185823583655,1.0,0.7751059625016996,0.24737872626681223,0.029425679402697462,0.46968964253650536,0.024688110922250393,0.08715388581404163,0.016408565303549234,0.19724116392488955
ExtraTrees,0.8255711877052186,0.7751059625016996,1.0,0.7872372135447493,0.1586698488133953,0.6610775500319902,0.07424609725856321,0.14452789087086595,0.07996422449388428,0.32357259051507103
LogisticRegression,0.4251312970612128,0.24737872626681223,0.7872372135447493,1.0,0.040128778665471626,0.943129819122123,0.10222421048880563,0.27677955985197233,0.10030704204251067,0.4494860545860079
NaiveBayes,0.03410252662695017,0.029425679402697462,0.1586698488133953,0.040128778665471626,1.0,0.21267265097523613,0.8927857847335353,0.6529066458618825,0.8190205310387609,0.6200828436379171
RandomForest,0.5487496226403666,0.46968964253650536,0.6610775500319902,0.943129819122123,0.21267265097523613,1.0,0.1037730404290346,0.23229244436819052,0.1284083130113588,0.3962541803881313
GradientBoosting,0.03218984408030665,0.024688110922250393,0.07424609725856321,0.10222421048880563,0.8927857847335353,0.1037730404290346,1.0,0.5315017296357598,0.9281194365424763,0.6208081261827431
XGBoost,0.08964751300352211,0.08715388581404163,0.14452789087086595,0.27677955985197233,0.6529066458618825,0.23229244436819052,0.5315017296357598,1.0,0.705154157090901,0.8962243568761172
KNN,0.019227551398863257,0.016408565303549234,0.07996422449388428,0.10030704204251067,0.8190205310387609,0.1284083130113588,0.9281194365424763,0.705154157090901,1.0,0.6782942666331848
LightGBM,0.2224891746538291,0.19724116392488955,0.32357259051507103,0.4494860545860079,0.6200828436379171,0.3962541803881313,0.6208081261827431,0.8962243568761172,0.6782942666331848,1.0
