,SVM_RBF,SVM_Linear,ExtraTrees,LogisticRegression,NaiveBayes,RandomForest,GradientBoosting,XGBoost,KNN,LightGBM
SVM_RBF,0.0,-0.08132206900852898,0.22038517824831916,0.7975506533822062,2.118857322327023,0.59963484016197,2.142045211094586,1.6972600159660578,2.341089613245545,1.2199359016481706
SVM_Linear,0.08132206900852898,0.0,0.28570253558145003,1.1567396959201934,2.177736237430521,0.7229841166434725,2.2462482552721936,1.7106059177868784,2.399698842115049,1.2894515092699597
ExtraTrees,-0.22038517824831916,-0.28570253558145003,0.0,0.26989996572401104,1.4095593105094746,0.43842593415658737,1.7850938383075685,1.4591352319295017,1.7508936866712594,0.987142897598775
LogisticRegression,-0.7975506533822062,-1.1567396959201934,-0.26989996572401104,0.0,2.0524208631922014,0.0713366599432357,1.6341649951938833,1.0875822734129552,1.6433669106116109,0.7562721294343296
NaiveBayes,-2.118857322327023,-2.177736237430521,-1.4095593105094746,-2.0524208631922014,0.0,-1.2462499371353106,-0.13478004362067653,-0.4497279076223214,-0.2288049348969461,-0.495732939825024
RandomForest,-0.59963484016197,-0.7229841166434725,-0.43842593415658737,-0.0713366599432357,1.2462499371353106,0.0,1.6268307896702097,1.194474411532315,1.5204086054603807,0.8483300614953317
GradientBoosting,-2.142045211094586,-2.2462482552721936,-1.7850938383075685,-1.6341649951938833,0.13478004362067653,-1.6268307896702097,0.0,-0.6257152486988402,-0.09021113426323037,-0.4947053476175867
XGBoost,-1.6972600159660578,-1.7106059177868784,-1.4591352319295017,-1.0875822734129552,0.4497279076223214,-1.194474411532315,0.6257152486988402,0.0,0.37837214599630675,-0.13043237114041878
KNN,-2.341089613245545,-2.399698842115049,-1.7508936866712594,-1.6433669106116109,0.2288049348969461,-1.5204086054603807,0.09021113426323037,-0.37837214599630675,0.0,-0.41479187687540114
LightGBM,-1.2199359016481706,-1.2894515092699597,-0.987142897598775,-0.7562721294343296,0.495732939825024,-0.8483300614953317,0.4947053476175867,0.13043237114041878,0.41479187687540114,0.0
