Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_RBF,0.799 ± 0.087,0.836 ± 0.118,0.683 ± 0.132,0.707 ± 0.118,0.731 ± 0.197,0.803 ± 0.175,0.733 ± 0.096,0.611 ± 0.309,12.800 ± 6.261
SVM_Linear,0.790 ± 0.109,0.831 ± 0.140,0.685 ± 0.084,0.700 ± 0.095,0.725 ± 0.176,0.723 ± 0.252,0.695 ± 0.141,0.677 ± 0.209,12.800 ± 6.261
ExtraTrees,0.767 ± 0.146,0.846 ± 0.130,0.713 ± 0.123,0.719 ± 0.133,0.769 ± 0.107,0.686 ± 0.214,0.712 ± 0.145,0.752 ± 0.146,12.800 ± 6.261
LogisticRegression,0.764 ± 0.096,0.793 ± 0.152,0.661 ± 0.105,0.683 ± 0.115,0.722 ± 0.168,0.673 ± 0.261,0.666 ± 0.137,0.694 ± 0.194,12.800 ± 6.261
NaiveBayes,0.759 ± 0.165,0.760 ± 0.234,0.617 ± 0.142,0.617 ± 0.155,0.640 ± 0.222,0.875 ± 0.136,0.712 ± 0.108,0.360 ± 0.398,12.800 ± 6.261
RandomForest,0.733 ± 0.109,0.781 ± 0.125,0.684 ± 0.084,0.697 ± 0.090,0.718 ± 0.154,0.719 ± 0.176,0.704 ± 0.112,0.675 ± 0.131,12.800 ± 6.261
GradientBoosting,0.730 ± 0.104,0.778 ± 0.157,0.588 ± 0.029,0.606 ± 0.051,0.646 ± 0.162,0.688 ± 0.207,0.634 ± 0.065,0.524 ± 0.255,12.800 ± 6.261
XGBoost,0.720 ± 0.112,0.808 ± 0.092,0.618 ± 0.078,0.629 ± 0.093,0.664 ± 0.136,0.710 ± 0.205,0.659 ± 0.086,0.547 ± 0.217,12.800 ± 6.261
KNN,0.719 ± 0.149,0.780 ± 0.129,0.586 ± 0.083,0.609 ± 0.121,0.645 ± 0.206,0.670 ± 0.259,0.621 ± 0.120,0.548 ± 0.287,12.800 ± 6.261
LightGBM,0.715 ± 0.088,0.792 ± 0.104,0.618 ± 0.078,0.631 ± 0.085,0.673 ± 0.130,0.657 ± 0.245,0.635 ± 0.116,0.606 ± 0.195,12.800 ± 6.261
