,NaiveBayes,GradientBoosting,XGBoost,SVM_Linear,LogisticRegression,LightGBM,ExtraTrees,RandomForest,SVM_RBF,KNN
NaiveBayes,0.0,1.4332972948849987,1.1504871358471798,1.5389116799625857,1.3864488877477201,1.5513170720402085,1.3852946229866476,1.1304340225303964,2.0924760929259105,1.9252270103293556
GradientBoosting,-1.4332972948849987,0.0,-0.23169206856175265,-0.15842140499588878,-0.40792302070741215,0.2411771901031001,-0.16734716864922522,-0.5599705200004902,0.33594506045752776,0.5478171200673708
XGBoost,-1.1504871358471798,0.23169206856175265,0.0,0.024072099329170774,-0.1776423336541697,0.5220394507083945,0.030800852458280698,-0.22232453198948,0.4511921492424435,0.6730662830413061
SVM_Linear,-1.5389116799625857,0.15842140499588878,-0.024072099329170774,0.0,-0.5993728853802563,0.34858778371972915,0.00692264531676959,-0.22119177401906925,0.6140722624950082,0.7120738788772585
LogisticRegression,-1.3864488877477201,0.40792302070741215,0.1776423336541697,0.5993728853802563,0.0,0.5839348260292069,0.24666948924799426,-0.013799718460782031,0.9610082786524746,0.9695973667079906
LightGBM,-1.5513170720402085,-0.2411771901031001,-0.5220394507083945,-0.34858778371972915,-0.5839348260292069,0.0,-0.3265545769811592,-0.6285210256792432,0.13564588169189898,0.32066859322590846
ExtraTrees,-1.3852946229866476,0.16734716864922522,-0.030800852458280698,-0.00692264531676959,-0.24666948924799426,0.3265545769811592,0.0,-0.2918773083343843,0.5144110178875618,0.8440586789431839
RandomForest,-1.1304340225303964,0.5599705200004902,0.22232453198948,0.22119177401906925,0.013799718460782031,0.6285210256792432,0.2918773083343843,0.0,0.6807799063145566,0.9259673534604043
SVM_RBF,-2.0924760929259105,-0.33594506045752776,-0.4511921492424435,-0.6140722624950082,-0.9610082786524746,-0.13564588169189898,-0.5144110178875618,-0.6807799063145566,0.0,0.22090048123710315
KNN,-1.9252270103293556,-0.5478171200673708,-0.6730662830413061,-0.7120738788772585,-0.9695973667079906,-0.32066859322590846,-0.8440586789431839,-0.9259673534604043,-0.22090048123710315,0.0
