Triple_Tag,Run_Status,Executed_Notebook,Error,Started_At,Finished_At
ADC_Post1_Post2,completed,batch_all_10_triple_runner_artifacts/executed_triple_notebooks_on_triples/ADC_Post1_Post2__triple_executed_on_triple.ipynb,,2026-06-29T21:04:22,2026-06-29T21:08:36
ADC_Post1_Pre,completed,batch_all_10_triple_runner_artifacts/executed_triple_notebooks_on_triples/ADC_Post1_Pre__triple_executed_on_triple.ipynb,,2026-06-29T21:08:36,2026-06-29T21:12:43
ADC_Post1_T2,completed,batch_all_10_triple_runner_artifacts/executed_triple_notebooks_on_triples/ADC_Post1_T2__triple_executed_on_triple.ipynb,,2026-06-29T21:12:43,2026-06-29T21:16:52
ADC_Post2_Pre,completed,batch_all_10_triple_runner_artifacts/executed_triple_notebooks_on_triples/ADC_Post2_Pre__triple_executed_on_triple.ipynb,,2026-06-29T21:16:52,2026-06-29T21:20:59
ADC_Post2_T2,completed,batch_all_10_triple_runner_artifacts/executed_triple_notebooks_on_triples/ADC_Post2_T2__triple_executed_on_triple.ipynb,,2026-06-29T21:20:59,2026-06-29T21:25:18
ADC_Pre_T2,completed,batch_all_10_triple_runner_artifacts/executed_triple_notebooks_on_triples/ADC_Pre_T2__triple_executed_on_triple.ipynb,,2026-06-29T21:25:18,2026-06-29T21:29:28
Post1_Post2_Pre,completed,batch_all_10_triple_runner_artifacts/executed_triple_notebooks_on_triples/Post1_Post2_Pre__triple_executed_on_triple.ipynb,,2026-06-29T21:29:28,2026-06-29T21:51:35
Post1_Post2_T2,completed,batch_all_10_triple_runner_artifacts/executed_triple_notebooks_on_triples/Post1_Post2_T2__triple_executed_on_triple.ipynb,,2026-06-29T21:51:35,2026-06-29T21:55:37
Post1_Pre_T2,completed,batch_all_10_triple_runner_artifacts/executed_triple_notebooks_on_triples/Post1_Pre_T2__triple_executed_on_triple.ipynb,,2026-06-29T21:55:37,2026-06-29T21:59:44
Post2_Pre_T2,completed,batch_all_10_triple_runner_artifacts/executed_triple_notebooks_on_triples/Post2_Pre_T2__triple_executed_on_triple.ipynb,,2026-06-29T21:59:44,2026-06-29T22:04:09
