Triple_Tag,Dataset_A,Dataset_B,Dataset_C,Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K,Run_Name,Run_Dir,Experiment_ID,FS_METHOD,FS_N_FEATURES,USE_SMOTE,N_Unique_Selected_Features,Max_Selection_Count,Mean_Selection_Count
ADC_Post1_Post2,ADC,Post1,Post2,SVM_Linear,0.7951587301587301,0.0799874013763215,0.7587301587301587,0.8343374787537441,0.1204902747151866,0.7888610417875377,0.7371848739495798,0.0865138192151381,0.7256637168141593,0.7360714285714286,0.0785666585051967,0.7147619047619047,0.7503908999497234,0.129306102812889,0.7285714285714285,0.8347619047619048,0.1135030519710916,0.8095238095238095,0.7757066935042463,0.079814081039864,0.7669172932330827,0.6373809523809524,0.172223026843267,0.62,7.6,7.6,5.425863986500215,4,4.0,18,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post1_Post2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,22,3,1.7272727272727273
ADC_Post1_Post2,ADC,Post1,Post2,NaiveBayes,0.7864285714285714,0.053635998711432,0.72,0.8313475418760955,0.0519690006097726,0.7548024412830032,0.6928011204481793,0.0718958516727358,0.6814159292035398,0.6870238095238095,0.0888753887140461,0.6812698412698412,0.7719444444444445,0.1510927276399463,0.7288135593220338,0.7157142857142856,0.2036962549314951,0.6825396825396826,0.704940148087207,0.1014913775941672,0.7049180327868853,0.6583333333333333,0.2962731472438529,0.68,7.6,7.6,3.878143885933063,4,6.0,14,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post1_Post2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,29,4,1.3103448275862069
ADC_Post1_Post2,ADC,Post1,Post2,LogisticRegression,0.7773015873015873,0.073696961446726,0.7565079365079365,0.8283830077799191,0.0871250274183597,0.80910013080489,0.6828011204481792,0.0736548429956348,0.672566371681416,0.6887698412698413,0.073027474923664,0.6774603174603174,0.7566239316239316,0.1181421057992677,0.7407407407407407,0.6606349206349206,0.1139518934182554,0.6349206349206349,0.6919786096256685,0.0816022782320479,0.6837606837606838,0.7169047619047618,0.1507133453668099,0.72,10.4,10.4,4.6303347611160905,4,12.0,16,corr_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post1_Post2/fs_method_comparison/corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k,corr_mrmr,auto,False,38,3,1.368421052631579
ADC_Post1_Pre,ADC,Post1,Pre,SVM_Linear,0.8364682539682541,0.0879537688635002,0.7987301587301587,0.8786296727070168,0.0541965078496101,0.8316093387127443,0.7180812324929973,0.0817329364055342,0.7168141592920354,0.7353571428571428,0.0824637547597753,0.7130158730158731,0.7627350427350427,0.1007903604707561,0.746031746031746,0.7785714285714286,0.165079365079365,0.746031746031746,0.7512814645308924,0.0658528402868672,0.746031746031746,0.6921428571428572,0.1553826379372405,0.68,9.6,9.6,4.963869458396343,4,8.0,18,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post1_Pre/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,28,4,1.7142857142857142
ADC_Post1_Pre,ADC,Post1,Pre,SVM_Linear,0.7727777777777777,0.0958924609735017,0.7174603174603174,0.817906758612604,0.1547456678461666,0.7807110505365062,0.7058963585434175,0.1128649987914786,0.6991150442477876,0.7244444444444446,0.1005147372083792,0.690952380952381,0.7567320261437909,0.1827722122628668,0.7164179104477612,0.7917460317460318,0.1514335628607324,0.7619047619047619,0.7449273049999003,0.0978850607809883,0.7384615384615385,0.6571428571428571,0.2322374654589818,0.62,8.8,8.8,4.308131845707603,4,6.0,14,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post1_Pre/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,33,4,1.3333333333333333
ADC_Post1_Pre,ADC,Post1,Pre,SVM_Linear,0.7133730158730158,0.075897004243991,0.6479365079365079,0.7951707587150831,0.0636219809207864,0.6973153449386245,0.5986974789915966,0.0775064713254148,0.5929203539823009,0.6092460317460316,0.0624754423913142,0.5792063492063492,0.6412884501119795,0.1395509185595637,0.6197183098591549,0.7296825396825397,0.1558739857080357,0.6984126984126984,0.6598249158249159,0.0861629316380791,0.6567164179104478,0.4888095238095237,0.1647054679009248,0.46,12.0,12.0,4.381780460041329,6,10.0,18,corr_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post1_Pre/fs_method_comparison/corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k,corr_mrmr,auto,False,46,3,1.3043478260869563
ADC_Post1_T2,ADC,Post1,T2,KNN,0.7602579365079365,0.1377159313680973,0.7174603174603175,0.811952314629105,0.1335448986489078,0.7999321180156695,0.6459383753501401,0.1259535887020155,0.6371681415929203,0.652063492063492,0.1291029577358517,0.6312698412698412,0.6731643356643356,0.190064698893098,0.671875,0.6950793650793651,0.1967590774086572,0.6825396825396826,0.6712833403155983,0.1632199041487891,0.6771653543307087,0.6090476190476191,0.1440143605840118,0.58,5.6,5.6,1.4966629547095764,4,6.0,8,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post1_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,19,3,1.4736842105263157
ADC_Post1_T2,ADC,Post1,T2,GradientBoosting,0.7560912698412698,0.1077224476344824,0.7179365079365079,0.8262035352300785,0.1202072643641984,0.8035949590134506,0.6359383753501401,0.119092711842158,0.6283185840707964,0.6609126984126984,0.112434998438083,0.6253968253968254,0.7102777777777777,0.1902272844601594,0.6721311475409836,0.6763492063492064,0.1604811359984028,0.6507936507936508,0.6653374890216995,0.1213236066481312,0.6612903225806451,0.6454761904761905,0.2162324272282814,0.6,5.6,5.6,3.2,4,4.0,12,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post1_T2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,22,3,1.2727272727272727
ADC_Post1_T2,ADC,Post1,T2,KNN,0.7320833333333333,0.0622533429624668,0.7323809523809524,0.7645749969558018,0.0809434241417786,0.7435797857950085,0.7130812324929972,0.0566664382011176,0.7079646017699115,0.6836111111111111,0.0622011119842207,0.6926984126984127,0.7031493506493506,0.0799598007873104,0.7027027027027027,0.8179365079365081,0.0616878576896958,0.8253968253968254,0.7540350877192983,0.0642608373505189,0.7591240875912408,0.5492857142857143,0.1490514224373999,0.56,11.6,11.6,4.6303347611160905,4,12.0,18,corr_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post1_T2/fs_method_comparison/corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k,corr_mrmr,auto,False,39,4,1.4871794871794872
ADC_Post2_Pre,ADC,Post2,Pre,LogisticRegression,0.7896945646945647,0.0516793920883649,0.7165624999999999,0.8275908672238044,0.0819674437776982,0.765348575060879,0.6682303204042335,0.0575737056158401,0.6666666666666666,0.7055249867091973,0.0466280999832297,0.6725,0.7616605616605616,0.1637551558419926,0.7407407407407407,0.6587772461456672,0.1614115411900353,0.625,0.6754932786511734,0.0634106418470712,0.6779661016949152,0.7522727272727272,0.1752212297036035,0.72,14.4,14.4,4.8,6,18.0,18,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post2_Pre/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,53,4,1.3584905660377358
