Triple_Tag,Dataset_A,Dataset_B,Dataset_C,Rows_After_Merge,N_Features_Total,Label_Counts,FS_METHOD,FS_N_FEATURES,Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Pooled_PR_AUC,Mean_Bal_Acc,Pooled_Bal_Acc,Mean_F1,Pooled_F1,Avg_Features,N_Unique_Selected_Features,Run_Name,Run_Dir,Final_Status,Result_Error
ADC_Post1_Pre,ADC,Post1,Pre,113,435,"{""0"": 50, ""1"": 63}",elasticnet_then_mrmr,auto,SVM_Linear,0.8364682539682541,0.0879537688635002,0.7987301587301587,0.8786296727070168,0.8316093387127443,0.7353571428571428,0.7130158730158731,0.7512814645308924,0.746031746031746,9.6,28,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post1_Pre/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,success,
ADC_Post2_T2,ADC,Post2,T2,114,435,"{""0"": 50, ""1"": 64}",elasticnet_then_mrmr,auto,SVM_Linear,0.8337354750512646,0.0452854522460405,0.755625,0.8660563562242178,0.8128113100505047,0.7390928077770182,0.7184375000000001,0.7625132811745388,0.7669172932330827,10.4,31,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post2_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,success,
ADC_Post1_Post2,ADC,Post1,Post2,113,435,"{""0"": 50, ""1"": 63}",elasticnet_then_mrmr,auto,SVM_Linear,0.7951587301587301,0.0799874013763215,0.7587301587301587,0.8343374787537441,0.7888610417875377,0.7360714285714286,0.7147619047619047,0.7757066935042463,0.7669172932330827,7.6,22,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post1_Post2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,success,
ADC_Post2_Pre,ADC,Post2,Pre,114,435,"{""0"": 50, ""1"": 64}",mrmr_then_elasticnet_no_corr,auto,LogisticRegression,0.7896945646945647,0.0516793920883649,0.7165624999999999,0.8275908672238044,0.765348575060879,0.7055249867091973,0.6725,0.6754932786511734,0.6779661016949152,14.4,53,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post2_Pre/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,success,
ADC_Pre_T2,ADC,Pre,T2,114,435,"{""0"": 50, ""1"": 64}",elasticnet_then_mrmr,auto,XGBoost,0.7624075454936698,0.1152148437171988,0.665625,0.8213414604480235,0.7181131578024202,0.6198902559428875,0.5825,0.6340992340992341,0.6299212598425197,13.2,35,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Pre_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,success,
Post2_Pre_T2,Post2,Pre,T2,117,435,"{""0"": 52, ""1"": 65}",elasticnet_then_mrmr,auto,SVM_RBF,0.7353759820426488,0.1757874111246118,0.7065088757396449,0.8067359802726835,0.782677388978464,0.6676010101010101,0.6365384615384615,0.674328342851263,0.676923076923077,13.2,42,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/Post2_Pre_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,success,
Post1_Post2_T2,Post1,Post2,T2,116,435,"{""0"": 52, ""1"": 64}",mrmr_then_elasticnet_no_corr,auto,NaiveBayes,0.7353104575163397,0.0569725200619209,0.7064302884615385,0.738669989813624,0.7656049578048236,0.616704014939309,0.6129807692307692,0.613030303030303,0.6666666666666666,10.0,38,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/Post1_Post2_T2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,success,
ADC_Post1_T2,ADC,Post1,T2,113,435,"{""0"": 50, ""1"": 63}",corr_mrmr,auto,KNN,0.7320833333333333,0.0622533429624668,0.7323809523809524,0.7645749969558018,0.7435797857950085,0.6836111111111111,0.6926984126984127,0.7540350877192983,0.7591240875912408,11.6,39,corr_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post1_T2/fs_method_comparison/corr_mrmr_auto_k_no_smote,success,
Post1_Post2_Pre,Post1,Post2,Pre,116,435,"{""0"": 52, ""1"": 64}",mrmr_then_elasticnet_no_corr,auto,SVM_Linear,0.7278384687208217,0.1234733745282738,0.6778846153846153,0.8021005943898049,0.7613779403346561,0.6405345471521942,0.6129807692307692,0.6415565796210958,0.6666666666666666,11.6,47,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/Post1_Post2_Pre/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,success,
Post1_Pre_T2,Post1,Pre,T2,116,435,"{""0"": 52, ""1"": 64}",mrmr_then_elasticnet_no_corr,auto,NaiveBayes,0.682120292561469,0.0740432566626414,0.6947115384615385,0.7015696195510753,0.7444881509971175,0.5908870214752568,0.6231971153846154,0.6154954954954956,0.7,11.6,42,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/Post1_Pre_T2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,success,
