,SVM_Linear,LogisticRegression,SVM_RBF,KNN,RandomForest,GradientBoosting,ExtraTrees,NaiveBayes,LightGBM,XGBoost
SVM_Linear,0.0,-1.9185091183785874,-0.10278470635536538,2.3513880755054757,0.6181998672334104,1.5192005925481884,1.94169016523667,1.6800842372703484,0.6915416451091829,3.622923856703841
LogisticRegression,1.9185091183785874,0.0,1.7854403054130359,3.229419550972744,1.6726242208379412,2.495440508423188,2.790382705719509,2.4102184874497046,1.4960955852519386,4.646570825716387
SVM_RBF,0.10278470635536538,-1.7854403054130359,0.0,2.3938154146082904,0.8200438990944868,1.8031883924026753,2.4180300461766495,1.7760283687065292,0.7948349345273383,3.7419042611415887
KNN,-2.3513880755054757,-3.229419550972744,-2.3938154146082904,0.0,-0.7981850574501739,0.23566009131665286,0.37439151455325426,0.7205352654733379,-0.23718364090206798,2.297215685683512
RandomForest,-0.6181998672334104,-1.6726242208379412,-0.8200438990944868,0.7981850574501739,0.0,1.1579194053481219,1.1933243398465312,1.1331473134771433,0.3633149183137913,3.422558885688176
GradientBoosting,-1.5192005925481884,-2.495440508423188,-1.8031883924026753,-0.23566009131665286,-1.1579194053481219,0.0,0.06733009859729815,0.5003028382947476,-0.5414961913697873,2.3008224983507635
ExtraTrees,-1.94169016523667,-2.790382705719509,-2.4180300461766495,-0.37439151455325426,-1.1933243398465312,-0.06733009859729815,0.0,0.5093190948651861,-0.47337958611991043,2.0933054445639834
NaiveBayes,-1.6800842372703484,-2.4102184874497046,-1.7760283687065292,-0.7205352654733379,-1.1331473134771433,-0.5003028382947476,-0.5093190948651861,0.0,-0.7938859518024022,0.9675376189611865
LightGBM,-0.6915416451091829,-1.4960955852519386,-0.7948349345273383,0.23718364090206798,-0.3633149183137913,0.5414961913697873,0.47337958611991043,0.7938859518024022,0.0,2.7365474720454257
XGBoost,-3.622923856703841,-4.646570825716387,-3.7419042611415887,-2.297215685683512,-3.422558885688176,-2.3008224983507635,-2.0933054445639834,-0.9675376189611865,-2.7365474720454257,0.0
