,SVM_Linear,LogisticRegression,SVM_RBF,KNN,RandomForest,GradientBoosting,ExtraTrees,NaiveBayes,LightGBM,XGBoost
SVM_Linear,1.0,0.05504648703787801,0.9181338435309988,0.018703515566183323,0.5364435975737998,0.12871201222559872,0.05217462001391877,0.0929409273014769,0.48922521913421346,0.00029129159109323436
LogisticRegression,0.05504648703787801,1.0,0.07418992588388544,0.0012404177475882601,0.09440129567000559,0.01258008482914131,0.005264577177868658,0.01594296973075635,0.134628748205905,3.3749829332681864e-06
SVM_RBF,0.9181338435309988,0.07418992588388544,1.0,0.016674137811853368,0.41219108194598963,0.07135863281689135,0.015604788229074672,0.07572824143074654,0.42670952670815787,0.00018263109591873006
KNN,0.018703515566183323,0.0012404177475882601,0.016674137811853368,1.0,0.42476310740832823,0.8136964402350563,0.7081130550867738,0.4711954947703525,0.8125143269306389,0.021606468758135232
RandomForest,0.5364435975737998,0.09440129567000559,0.41219108194598963,0.42476310740832823,1.0,0.24689692762929816,0.23274237362622652,0.2571523951858212,0.7163696504475772,0.0006203465932968214
GradientBoosting,0.12871201222559872,0.01258008482914131,0.07135863281689135,0.8136964402350563,0.24689692762929816,1.0,0.9463189160330594,0.6168618558721612,0.5881656220971507,0.021401666212853745
ExtraTrees,0.05217462001391877,0.005264577177868658,0.015604788229074672,0.7081130550867738,0.23274237362622652,0.9463189160330594,1.0,0.6105285756726793,0.6359423912796482,0.03632189694406918
NaiveBayes,0.0929409273014769,0.01594296973075635,0.07572824143074654,0.4711954947703525,0.2571523951858212,0.6168618558721612,0.6105285756726793,1.0,0.42726182869355545,0.3332753447565654
LightGBM,0.48922521913421346,0.134628748205905,0.42670952670815787,0.8125143269306389,0.7163696504475772,0.5881656220971507,0.6359423912796482,0.42726182869355545,1.0,0.006208763600932575
XGBoost,0.00029129159109323436,3.3749829332681864e-06,0.00018263109591873006,0.021606468758135232,0.0006203465932968214,0.021401666212853745,0.03632189694406918,0.3332753447565654,0.006208763600932575,1.0
