Competitor,Competitor_Mean_AUC,ΔMean_AUC,p_value,p_Bonferroni,Significant_uncorrected,Significant_Bonferroni
XGBoost,0.6549,+0.1403,2.91e-04,1.31e-02,✓,✓
LightGBM,0.7222,+0.0730,4.89e-01,1.00e+00,✗,✗
NaiveBayes,0.7253,+0.0699,9.29e-02,1.00e+00,✗,✗
ExtraTrees,0.7375,+0.0576,5.22e-02,1.00e+00,✗,✗
GradientBoosting,0.7393,+0.0558,1.29e-01,1.00e+00,✗,✗
RandomForest,0.7406,+0.0546,5.36e-01,1.00e+00,✗,✗
KNN,0.7649,+0.0303,1.87e-02,8.42e-01,✓,✗
SVM_RBF,0.7887,+0.0065,9.18e-01,1.00e+00,✗,✗
LogisticRegression,0.7926,+0.0026,5.50e-02,1.00e+00,✗,✗
