Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_Linear,0.795 ± 0.089,0.834 ± 0.135,0.737 ± 0.097,0.736 ± 0.088,0.750 ± 0.145,0.835 ± 0.127,0.776 ± 0.089,0.637 ± 0.193,7.600 ± 6.066
LogisticRegression,0.793 ± 0.083,0.838 ± 0.139,0.708 ± 0.157,0.704 ± 0.161,0.761 ± 0.179,0.730 ± 0.174,0.731 ± 0.156,0.677 ± 0.262,7.600 ± 6.066
SVM_RBF,0.789 ± 0.073,0.829 ± 0.127,0.718 ± 0.083,0.718 ± 0.066,0.735 ± 0.123,0.807 ± 0.143,0.754 ± 0.085,0.629 ± 0.160,7.600 ± 6.066
KNN,0.765 ± 0.098,0.771 ± 0.178,0.655 ± 0.134,0.667 ± 0.121,0.705 ± 0.157,0.745 ± 0.212,0.696 ± 0.136,0.590 ± 0.233,7.600 ± 6.066
RandomForest,0.741 ± 0.079,0.779 ± 0.124,0.708 ± 0.081,0.700 ± 0.090,0.741 ± 0.133,0.765 ± 0.121,0.740 ± 0.082,0.635 ± 0.221,7.600 ± 6.066
GradientBoosting,0.739 ± 0.093,0.777 ± 0.151,0.659 ± 0.096,0.637 ± 0.115,0.666 ± 0.108,0.804 ± 0.145,0.718 ± 0.091,0.470 ± 0.227,7.600 ± 6.066
ExtraTrees,0.738 ± 0.100,0.783 ± 0.167,0.692 ± 0.128,0.691 ± 0.127,0.748 ± 0.148,0.719 ± 0.197,0.711 ± 0.142,0.663 ± 0.239,7.600 ± 6.066
NaiveBayes,0.725 ± 0.161,0.779 ± 0.124,0.626 ± 0.155,0.580 ± 0.179,0.636 ± 0.166,0.888 ± 0.095,0.729 ± 0.111,0.273 ± 0.378,7.600 ± 6.066
LightGBM,0.722 ± 0.104,0.770 ± 0.145,0.661 ± 0.127,0.651 ± 0.124,0.686 ± 0.165,0.665 ± 0.206,0.670 ± 0.176,0.638 ± 0.101,7.600 ± 6.066
XGBoost,0.655 ± 0.153,0.752 ± 0.155,0.614 ± 0.130,0.604 ± 0.128,0.644 ± 0.184,0.670 ± 0.230,0.642 ± 0.178,0.537 ± 0.181,7.600 ± 6.066
